claim,claim_norm,label,justification,winner,Informativeness,Logicality,Objectivity,Readability,Accuracy,OverallScore
"Adidas highlights its ""over thirty years"" of sustainability efforts, contributing to human rights, labor rights, and environmentally friendly supply chains.","adidas highlights its ""over thirty years"" of sustainability efforts, contributing to human rights, labor rights, and environmentally friendly supply chains.",abstain,"The provided context details various sustainability-related KPIs and targets that Adidas reports on, as well as a past legal dispute. However, it does not provide sufficient information to verify the claim that Adidas has been making sustainability efforts for ""over thirty years."" While the data shows recent efforts, it doesn't confirm the longevity of these initiatives. The claim is too broad to be verified with the given context.",graphrag,3.0,3.0,3.0,4.0,2.0,3.0
Adidas now incorporates plastics recycled from ocean waste into its footwear products.,adidas now incorporates plastics recycled from ocean waste into its footwear products.,not_greenwashing,"The provided context confirms that Adidas incorporates plastics recycled from ocean waste into its footwear products, specifically through its partnership with Parley for the Oceans. In 2021, Adidas produced close to 18 million pairs of shoes containing Parley Ocean Plastic. The document details Adidas's commitment to using recycled polyester and increasing the percentage of sustainable materials in its products, supporting the claim's factual accuracy.",rag,5.0,5.0,5.0,5.0,5.0,5.0
"Adidas partners with Allbirds to develop low-carbon footwear using innovative materials like merino wool, recycled bottle plastics, and castor bean oil.","adidas partners with allbirds to develop low-carbon footwear using innovative materials like merino wool, recycled bottle plastics, and castor bean oil.",not_greenwashing,"The context provides evidence supporting the claim that Adidas is developing low-carbon footwear with innovative materials. Specifically, it details the partnership with Allbirds to create the Futurecraft.Footprint shoe with a significantly reduced carbon footprint (2.94kg vs. 7.86kg for a comparable shoe). It also mentions the use of materials like merino wool, recycled plastics, and castor bean oil. The document further outlines Adidas's broader sustainability initiatives, including increasing the use of recycled polyester (91% in 2021) and exploring materials like mycelium. Therefore, the claim is factually accurate based on the provided information.",rag,5.0,5.0,5.0,5.0,5.0,5.0
Adidas plans to launch a new version of its classic Stan Smith shoe made with mycelium-derived leather.,adidas plans to launch a new version of its classic stan smith shoe made with mycelium-derived leather.,abstain,"The provided context contains a wealth of information about Adidas's KPIs and a past legal dispute, but it does not contain any information about the company's plans to launch a shoe made with mycelium-derived leather. Therefore, I cannot verify the claim's accuracy.",graphrag,1.0,1.0,1.0,1.0,1.0,1.0
"Adidas promotes its entire footwear collection as ""responsibly sourced.""","adidas promotes its entire footwear collection as ""responsibly sourced.""",greenwashing,"The claim that Adidas promotes its *entire* footwear collection as ""responsibly sourced"" is misleading. While Adidas reports on various sustainability KPIs (like increasing the share of sustainable articles offered - currently at 8.2% in 2021 and targeting 78% in 2022), this does not equate to the entire collection being responsibly sourced. The provided context demonstrates Adidas is making progress in sustainability, but it doesn't support the claim that *all* footwear is responsibly sourced. Presenting a partial truth (progress towards sustainability) as a whole (entire collection is responsibly sourced) constitutes greenwashing.",graphrag,4.0,5.0,4.0,4.0,5.0,4.4
"Adidas states that ""sustainability is a significant buying argument"" for 70% of consumers, aligning with its commitment to a sustainable company image.","adidas states that ""sustainability is a significant buying argument"" for 70% of consumers, aligning with its commitment to a sustainable company image.",abstain,"The provided context details various KPIs and sustainability efforts by Adidas, as well as a past legal dispute. However, it does not contain any information to verify or refute the claim that ""sustainability is a significant buying argument"" for 70% of consumers. This claim relates to consumer behavior and market research data, which is not present in the provided context.",graphrag,1.0,1.0,1.0,1.0,1.0,1.0
Airbus and Lufthansa Group collaborate on Direct Air Capture technology to advance aviation decarbonization efforts.,airbus and lufthansa group collaborate on direct air capture technology to advance aviation decarbonization efforts.,not_greenwashing,"The claim states that Airbus and Lufthansa Group are collaborating on Direct Air Capture (DAC) technology to advance aviation decarbonization. While the provided context does not directly mention this specific collaboration, it *does* demonstrate Airbus's ongoing efforts to monitor and reduce CO2 emissions (KPIObservation nodes with kpi_type ""ESG-1-1""), and a general focus on ESG-related KPIs. This suggests a commitment to decarbonization efforts, making the claim plausible and not demonstrably false based on the available information. The collaboration itself isn't verifiable within the context, but the underlying commitment to reducing emissions is supported.",graphrag,3.0,4.0,4.0,4.0,5.0,4.0
Allbirds announces it will open-source its M0.0NSHOT shoe toolkit to help the entire industry achieve lower carbon footprints.,allbirds announces it will open-source its m0.0nshot shoe toolkit to help the entire industry achieve lower carbon footprints.,not_greenwashing,"The claim states that Allbirds will open-source its M0.0NSHOT shoe toolkit to help lower carbon footprints across the industry. While the provided context does not directly confirm this specific action, it demonstrates Allbirds' consistent focus on reducing its carbon footprint and improving sustainability through various initiatives (e.g., regenerative agriculture, sustainably sourced materials, carbon footprint reduction targets). This suggests the claim is consistent with the company's overall strategy and is likely accurate.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
Allbirds is using biofuel-powered ocean shipping and electric trucking for its M0.0NSHOT product transportation.,allbirds is using biofuel-powered ocean shipping and electric trucking for its m0.0nshot product transportation.,not_greenwashing,"The provided context indicates that Allbirds is actively working towards sustainable transportation, with 96% of ocean shipping already utilizing biofuel and efforts to transition to electric trucking for the M0.0NSHOT product line. While specific details about the extent of electric trucking are not provided, the claim regarding biofuel-powered ocean shipping is supported by the data point of 96% (KPIObservation node: c679c9e9b38572f5).",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Allbirds' M0.0NSHOT is a ""net zero carbon shoe,"" making it completely environmentally neutral.","allbirds' m0.0nshot is a ""net zero carbon shoe,"" making it completely environmentally neutral.",greenwashing,"The claim that the M0.0NSHOT shoe is ""completely environmentally neutral"" (net zero carbon) is misleading. While Allbirds reports various reductions in GHG emissions and targets for sustainable materials (as evidenced by the provided context), these do not equate to a fully neutral carbon footprint. The data shows emissions reductions *per unit* and targets for future reductions, but does not demonstrate that the entire lifecycle of the shoe results in zero net carbon emissions. The claim presents a partial truth (efforts to reduce emissions) as a whole (complete environmental neutrality).",graphrag,4.0,4.0,4.0,4.0,5.0,4.2
"Allbirds' M0.0NSHOT packaging is made from sugarcane-derived, carbon-negative Green PE.","allbirds' m0.0nshot packaging is made from sugarcane-derived, carbon-negative green pe.",not_greenwashing,"The provided context confirms that Allbirds uses sugarcane-derived Green PE for its M0.0NSHOT packaging. It also states that the sugarcane-based Green EVA is Bonsucro certified, indicating a commitment to sustainable sourcing. The context does not contain any information to suggest this claim is false or misleading; rather, it supports the claim's accuracy.",rag,5.0,5.0,5.0,5.0,5.0,5.0
Allbirds' M0.0NSHOT shoe features a carbon-negative regenerative merino wool upper.,allbirds' m0.0nshot shoe features a carbon-negative regenerative merino wool upper.,not_greenwashing,"The provided context indicates that Allbirds is actively working towards regenerative agriculture and reducing its carbon footprint. Specifically, they have a target to source 100% of their wool from regenerative sources by 2025 and are already achieving reductions in GHG emissions from regenerative agriculture. While the claim uses the term ""carbon-negative,"" the context demonstrates significant efforts to reduce emissions and promote regenerative practices, supporting the claim's overall message of environmental responsibility.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
Allbirds' M0.0NSHOT shoe incorporates bioplastic eyelets made from microorganisms that convert methane into plastic-like polymers.,allbirds' m0.0nshot shoe incorporates bioplastic eyelets made from microorganisms that convert methane into plastic-like polymers.,not_greenwashing,"The provided context details Allbirds' efforts to utilize sustainable materials, specifically mentioning the use of bioplastic eyelets made from microorganisms that convert methane into plastic-like polymers in their M0.0NSHOT shoe. The context also highlights their broader goals of increasing sustainably sourced materials and reducing their carbon footprint. While the context doesn't provide a full lifecycle assessment of the shoe, it does confirm the use of the described bioplastic material, supporting the claim's factual accuracy.",rag,5.0,5.0,5.0,5.0,5.0,5.0
Amazon achieved 85% renewable energy across its business by the end of 2021.,amazon achieved 85% renewable energy across its business by the end of 2021.,not_greenwashing,"The provided context includes a KPIObservation stating that ""Electricity consumed from renewable energy sources"" was 85% in 2021 (node key: 8eaea7780aacb434). This directly supports the claim that ""Amazon achieved 85% renewable energy across its business by the end of 2021."" Furthermore, data from 2022 shows an increase to 90% renewable energy (nodes 93a6e73e50290471 and 9cc10ce631531150), indicating continued progress.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Amazon achieved 85% renewable energy for its operations' electricity by the end of 2021, on track for its 2025 goal.","amazon achieved 85% renewable energy for its operations' electricity by the end of 2021, on track for its 2025 goal.",not_greenwashing,"The provided context confirms that Amazon achieved 85% renewable energy for its operations' electricity by the end of 2021, as stated in the claim. Multiple KPIObservation nodes (8eaea7780aacb434, fbaca3a0ced607b6) from the knowledge graph support this, citing ""amazon_2022.pdf"" as the source. The claim is factually accurate based on the provided evidence.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Amazon advertises its new housing as ""green living solutions"" for urban residents.","amazon advertises its new housing as ""green living solutions"" for urban residents.",abstain,"The provided context details Amazon's investments in affordable housing initiatives and related KPIs, but it does not contain any information about the specific features of the housing itself or whether it qualifies as ""green living solutions."" Without further information on the sustainability aspects of the housing (e.g., energy efficiency, materials used, water conservation), I cannot verify the claim.",graphrag,3.0,4.0,4.0,4.0,4.0,3.8
"Amazon advertises that its new electric heavy goods vehicles make its entire logistics operation ""green.""","amazon advertises that its new electric heavy goods vehicles make its entire logistics operation ""green.""",greenwashing,"The claim states Amazon's entire logistics operation is ""green"" due to its electric heavy goods vehicles. However, the provided context shows that while Amazon is increasing its use of electric vehicles (heavy goods vehicles and others), it is still a work in progress with targets set for 2025 and 2030. As of 2022, only a small fraction of Amazon's total fleet is electric (9000 vehicles globally, with only 2600 Rivian vans in the US and 5 eHGVs in the UK). Presenting the current situation as an entirely ""green"" operation is a partial truth presented as a whole, as the vast majority of its logistics still relies on traditional, polluting methods.",graphrag,4.0,4.0,4.0,4.0,5.0,4.2
Amazon aims to achieve 100% renewable energy across its entire business by 2025.,amazon aims to achieve 100% renewable energy across its entire business by 2025.,abstain,"The provided context details Amazon's progress towards renewable energy, including targets for 2025, 2030, and 2040. However, it does not provide definitive confirmation of whether Amazon has *already* achieved 100% renewable energy across its entire business by 2025, as the claim states. The context shows targets and current percentages, but not full achievement as of 2025.",graphrag,3.0,4.0,4.0,4.0,4.0,3.8
Amazon aims to achieve net zero emissions across its operations by 2040 as part of its Climate Pledge.,amazon aims to achieve net zero emissions across its operations by 2040 as part of its climate pledge.,not_greenwashing,"The provided context explicitly states that Amazon ""aims to reach net-zero carbon emissions by 2040"" as part of its Climate Pledge, co-founded in 2019. The context details Amazon's approach to achieving this goal, including investments in renewable energy and collaboration with partners. This confirms the claim is factually accurate and supported by documented initiatives.",rag,5.0,5.0,5.0,5.0,5.0,5.0
Amazon aims to achieve net zero emissions across its operations by 2040.,amazon aims to achieve net zero emissions across its operations by 2040.,not_greenwashing,"The provided context includes multiple KPIObservation nodes (1f5fa202f4b2984e, 7c0c605283db6930, f12f867d32b85d71, f682b2432cd81d49) that explicitly state Amazon's target to achieve net-zero carbon emissions by 2040. These targets are documented in Amazon's reports (amazon_2022.pdf). Therefore, the claim is factually accurate based on the available evidence.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Amazon aims to achieve net-zero carbon across its operations by 2040, a decade earlier than the Paris Agreement target.","amazon aims to achieve net-zero carbon across its operations by 2040, a decade earlier than the paris agreement target.",not_greenwashing,"The provided context includes multiple KPIObservation nodes (05b138b8ac9f2148, 1f5fa202f4b2984e, 374fd4e90cdffa9e, etc.) that explicitly state Amazon's target to achieve net-zero carbon across its operations by 2040. This target is consistently reported in various documents (amazon_2022.pdf) and aligns with the claim. The claim is therefore factually accurate based on the provided evidence.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
Amazon aims to power 100% of its company activities with renewable energy by 2025.,amazon aims to power 100% of its company activities with renewable energy by 2025.,not_greenwashing,"The provided context includes multiple KPIObservations demonstrating Amazon's progress towards 100% renewable energy. Specifically, data from 2020 (65%), 2021 (85% and 90%), and 2022 (90%) show a clear upward trend. Amazon has set targets for 100% renewable energy by 2025 and 2030, and 100% by 2040. The claim that Amazon aims to power 100% of its company activities with renewable energy by 2025 is supported by the provided data and targets.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Amazon aims to shift further away from traditional fossil fuels by deploying thousands of electric vans, long-haul trucks, and bikes.","amazon aims to shift further away from traditional fossil fuels by deploying thousands of electric vans, long-haul trucks, and bikes.",not_greenwashing,"The provided context from Amazon's 2022 Sustainability Report and other sources demonstrates concrete actions and targets related to reducing fossil fuel usage and increasing the deployment of electric vehicles (vans, trucks, and bikes). Specifically, the company has already deployed 2600 Rivian electric delivery vans in North America and aims to have 100,000 on the road by 2030. They are also investing in a European zero-emissions fleet and have regions powered by 100% renewable electricity. These are verifiable actions supporting the claim.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Amazon and Water.org are providing ""lasting water access"" for 100 million people globally.","amazon and water.org are providing ""lasting water access"" for 100 million people globally.",not_greenwashing,"The provided context includes multiple KPIObservations demonstrating Amazon's investments and progress in water conservation and access initiatives. Specifically, the context details targets for empowering people with water access through Water.org, replenishing water through community projects, and achieving water neutrality in its operations. These documented efforts support the claim that Amazon and Water.org are working to provide lasting water access for a significant number of people.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Amazon and Water.org previously provided clean water and sanitation to 250,000 people in India and Indonesia through microfinance loans.","amazon and water.org previously provided clean water and sanitation to 250,000 people in india and indonesia through microfinance loans.",not_greenwashing,"The provided context confirms that Amazon and Water.org ""provided clean water and sanitation to over 290,000 people across India and Indonesia in 2022."" This directly supports the claim that they previously provided clean water and sanitation to 250,000 people in those countries, as 290,000 is a higher number and therefore encompasses the 250,000 mentioned in the claim. The context provides verifiable evidence for the claim's accuracy.",rag,5.0,5.0,5.0,5.0,5.0,5.0
"Amazon announced 71 new wind and solar projects, adding 2.7 GW of clean energy capacity worldwide.","amazon announced 71 new wind and solar projects, adding 2.7 gw of clean energy capacity worldwide.",not_greenwashing,"The provided context contains multiple data points demonstrating Amazon's significant investments in wind and solar energy projects, totaling 20 GW of clean energy capacity as of 2022, and projections for future capacity. The claim of adding 2.7 GW of clean energy capacity worldwide is consistent with these reported investments and achievements.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Amazon announces 71 new clean energy projects globally, generating up to 50,000 GWh to power its operations.","amazon announces 71 new clean energy projects globally, generating up to 50,000 gwh to power its operations.",not_greenwashing,"The claim that Amazon is announcing 71 new clean energy projects globally, generating up to 50,000 GWh to power its operations is supported by numerous KPIObservation entries in the provided context. These entries detail Amazon's investments in renewable energy, including specific capacity figures (e.g., 20 GW of clean energy capacity by 2023, projections for 20478 MW, and targets for 100% renewable energy by 2030 and 2040). While the exact number of ""projects"" isn't explicitly stated, the substantial investment and generation capacity align with the claim.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Amazon announces a landmark agreement with Plug Power for nearly 11,000 tons of green hydrogen annually starting 2025.","amazon announces a landmark agreement with plug power for nearly 11,000 tons of green hydrogen annually starting 2025.",not_greenwashing,"The context confirms that Amazon has a deal with Plug Power for nearly 11,000 tons of green hydrogen annually starting in 2025 to power 40,000 forklifts. This is a factual statement supported by the provided text, specifically mentioning the ""procurement agreement with Plug Power in August 2022"" and the intended use of the hydrogen. Therefore, the claim is accurate and does not constitute greenwashing.",rag,5.0,5.0,5.0,5.0,5.0,5.0
"Amazon announces a nearly 30% increase in its renewable energy portfolio, adding 37 new wind and solar projects globally.","amazon announces a nearly 30% increase in its renewable energy portfolio, adding 37 new wind and solar projects globally.",not_greenwashing,"The provided context demonstrates Amazon has been consistently increasing its renewable energy capacity and has targets to reach 100% renewable energy for its operations by 2025 and 2030. The claim of a ""nearly 30% increase"" aligns with the documented increases in renewable energy capacity and percentage of electricity from renewable sources over the years (from 42% in 2019 to 90% in 2022). The addition of 37 new wind and solar projects globally supports this claim.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Amazon announces a €1 billion investment to electrify its European transportation fleet, aiming for over 10,000 electric vans by 2025.","amazon announces a €1 billion investment to electrify its european transportation fleet, aiming for over 10,000 electric vans by 2025.",not_greenwashing,"The provided context confirms Amazon's stated target of 10,000 electric vans by 2025, and a larger target of 100,000 Rivian electric delivery vans by 2030. Multiple KPIObservation nodes detail Amazon's progress and commitments to electrifying its fleet, supporting the claim's factual accuracy.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Amazon announces its commitment to the MSD Pledge, aiming to reduce musculoskeletal disorders by 25% by 2025 through new investments in workplace safety.","amazon announces its commitment to the msd pledge, aiming to reduce musculoskeletal disorders by 25% by 2025 through new investments in workplace safety.",not_greenwashing,"The provided context details numerous KPIs and sustainability initiatives undertaken by Amazon, including investments in employee upskilling, health equity, and climate-friendly programs. The claim about reducing musculoskeletal disorders by 25% by 2025 through workplace safety investments aligns with these broader efforts and is presented as a target, indicating a commitment to improvement. While the context doesn't directly *prove* the 25% reduction will be achieved, it demonstrates Amazon is actively investing in areas that would contribute to this goal. Therefore, the claim is not demonstrably false or misleading based on the available information.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
Amazon announces its new Sacramento fulfillment center is now Zero Carbon Certified.,amazon announces its new sacramento fulfillment center is now zero carbon certified.,abstain,"The provided context details Amazon's various carbon reduction targets and initiatives, including a commitment to net-zero carbon emissions by 2040 and investments in zero-emission fleets. However, it does not provide any specific information about the Sacramento fulfillment center's operations or certifications to verify whether it has achieved ""Zero Carbon Certified"" status. Therefore, I cannot determine if the claim is factually accurate or false.",graphrag,3.0,4.0,4.0,4.0,4.0,3.8
Amazon announces new investments of $82 million for 742 affordable homes in the Washington area and $42 million for 318 homes in the Puget Sound region.,amazon announces new investments of $82 million for 742 affordable homes in the washington area and $42 million for 318 homes in the puget sound region.,not_greenwashing,"The provided context demonstrates Amazon has made significant investments in affordable housing, with commitments totaling $2 billion to create or preserve 20,000 affordable homes. The claim of $82 million for 742 homes in the Washington area and $42 million for 318 homes in the Puget Sound region aligns with these broader investment goals and is supported by the data in the knowledge graph.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
Amazon announces over $53 million in new commitments to boost climate funding for women-led climate tech companies and address gender inequities in climate finance.,amazon announces over $53 million in new commitments to boost climate funding for women-led climate tech companies and address gender inequities in climate finance.,not_greenwashing,"The provided context includes multiple KPIObservations demonstrating Amazon's financial commitments to climate-related initiatives, specifically those focused on women-led climate tech companies and addressing gender inequities in climate finance. Specifically, the context shows a commitment of $53 million to address gender inequity in climate tech (node 663bffb3112b6417) and $3 million to USAID Climate Gender Equity Fund (node dc71e8f9a42be7a4). The claim of ""over $53 million"" is therefore verifiable and accurate based on the provided data.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Amazon announces plans to create over 2,500 new corporate and tech jobs across Southern California.","amazon announces plans to create over 2,500 new corporate and tech jobs across southern california.",not_greenwashing,"The provided context details Amazon's plans for job creation in Southern California. This is a factual statement about business operations and economic impact, not an environmental or governance claim subject to greenwashing. The context focuses on KPIs related to workforce development and diversity, which do not contradict the claim about job creation.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Amazon announces the rollout of its new electric delivery fleet across 100 U.S. cities by the end of the year, aiming for 100,000 vehicles by 2030.","amazon announces the rollout of its new electric delivery fleet across 100 u.s. cities by the end of the year, aiming for 100,000 vehicles by 2030.",not_greenwashing,"The provided context includes a KPIObservation with the properties: ""title"": ""Number of electric delivery vehicles"", ""unit"": ""vehicles"", ""value"": 100000, and ""target_year"": 2030. This directly supports the claim that Amazon is aiming for 100,000 electric vehicles by 2030. Additionally, the context shows Amazon already has a significant number of electric vehicles deployed.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
Amazon asserts that its continued decreases in carbon intensity will lead to lower absolute emissions over time.,amazon asserts that its continued decreases in carbon intensity will lead to lower absolute emissions over time.,not_greenwashing,"The provided context demonstrates that Amazon *has* been decreasing its carbon intensity (GHG emissions per unit of revenue) over time (from 122.8 in 2019 to 93.7 in 2022). While decreasing carbon intensity doesn't automatically equate to lower absolute emissions, the data also shows a reduction in absolute carbon emissions (0.4% in 2022). Therefore, the claim that decreases in carbon intensity will lead to lower absolute emissions over time is supported by the available data.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Amazon believes in the power of the written word to expand our thinking, advance our empathy, and change our world.","amazon believes in the power of the written word to expand our thinking, advance our empathy, and change our world.",abstain,"The provided context contains data points related to Amazon's social and philanthropic initiatives (water access, housing equity, employee upskilling, diversity representation, donations) and sustainability efforts (Climate Pledge Friendly). However, it does not contain any information to verify or refute the claim about ""the power of the written word to expand our thinking, advance our empathy, and change our world."" This claim is a broad statement of belief and is not directly tied to any quantifiable metrics or initiatives documented in the provided context.",graphrag,1.0,1.0,1.0,1.0,1.0,1.0
Amazon CEO Andy Jassy acknowledges that decarbonizing their transportation network is one of the most challenging areas of their business.,amazon ceo andy jassy acknowledges that decarbonizing their transportation network is one of the most challenging areas of their business.,not_greenwashing,"The claim that Amazon's CEO acknowledges decarbonizing their transportation network is challenging is directly supported by the provided context. Multiple snippets highlight the difficulties in decarbonizing transportation, particularly airfreight and cargo shipping, due to the lack of scalable net-zero technologies. The context demonstrates Amazon recognizes this challenge and is actively working to address it, making the claim factually accurate.",rag,5.0,5.0,5.0,5.0,5.0,5.0
"Amazon CEO Andy Jassy declares the new electric delivery fleet marks a ""significant milestone"" in the company's overall Climate Pledge commitment to net-zero carbon by 2040.","amazon ceo andy jassy declares the new electric delivery fleet marks a ""significant milestone"" in the company's overall climate pledge commitment to net-zero carbon by 2040.",not_greenwashing,"The context provides substantial evidence supporting Amazon's claim of a ""significant milestone"" in its Climate Pledge commitment. The report details numerous initiatives and progress towards net-zero carbon emissions, including a growing electric delivery fleet (over 9,000 EVs globally, with 2,600+ Rivian vans in the US), investments in renewable energy (90% renewable electricity in 2022), and a reduction in carbon intensity. While challenges remain, the context demonstrates concrete actions and measurable progress aligning with the stated commitment, thus validating the claim as factually accurate.",rag,5.0,5.0,5.0,5.0,5.0,5.0
Amazon claims AWS re/Start ensures graduates are able to immediately put their skills to work in new roles.,amazon claims aws re/start ensures graduates are able to immediately put their skills to work in new roles.,abstain,"The provided context contains numerous KPIs related to Amazon's training and upskilling programs (AWS re/Start, Future Engineer, Skill Builder). However, it does not contain information about whether graduates of AWS re/Start are *immediately* able to secure new roles. The data focuses on program participation and reach, not employment outcomes. Therefore, I cannot verify the claim's factual accuracy.",graphrag,1.0,1.0,1.0,1.0,1.0,1.0
"Amazon claims it is ""leading the way"" in sustainable logistics with its new EV investments.","amazon claims it is ""leading the way"" in sustainable logistics with its new ev investments.",abstain,"The provided context contains numerous KPIs reported by Amazon, but none directly address the claim of ""leading the way"" in sustainable logistics. The data points relate to investments in EVs, housing equity, supplier diversity, and employee upskilling, but do not provide a comparative assessment of Amazon's sustainability efforts relative to its competitors or industry standards. Therefore, I cannot verify if Amazon is genuinely ""leading the way.",graphrag,3.0,3.0,3.0,4.0,2.0,3.0
