claim,claim_norm,label,justification,winner,Informativeness,Logicality,Objectivity,Readability,Accuracy,OverallScore
"At Rituals, we are committed that all our packaging will be refillable recyclable, and/or made from recycled materials by 2025. In 2022 alone, our refills saved 802,587 kg in materials, 32,871 GJ-eq in energy, 1,766 tons of CO 2 -eq, and 19.3M litres of water.","at rituals, we are committed that all our packaging will be refillable recyclable, and/or made from recycled materials by 2025. in 2022 alone, our refills saved 802,587 kg in materials, 32,871 gj-eq in energy, 1,766 tons of co 2 -eq, and 19.3m litres of water.",not_greenwashing,"The claim states Rituals is committed to 100% refillable, recyclable, or recycled packaging by 2025 and provides data on savings from refills in 2022. The knowledge graph confirms Rituals is actively working towards sustainable packaging goals, with a target of 100% by 2025 (node 48f6c15e63e03f86). Additionally, the graph provides data on material, energy, water, and CO2 savings from refills in 2023, supporting the claim that Rituals is making progress towards its sustainability commitments.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"A NEW LIFE FOR UNIQLO CLOTHING. “RE.UNIQLO” is a framework that helps maximize the utility of the clothing we make, contributing to a circular society. “REDUCE” used clothing disposal by extending the lifespan of each garment. “REUSE” clothing with new purposes. “RECYCLE” clothing into new products and materials. Clothing has the power to change the future. None of this can happen without your help. Please bring any UNIQLO items you no longer need to a RE.UNIQLO recycling box.","a new life for uniqlo clothing. “re.uniqlo” is a framework that helps maximize the utility of the clothing we make, contributing to a circular society. “reduce” used clothing disposal by extending the lifespan of each garment. “reuse” clothing with new purposes. “recycle” clothing into new products and materials. clothing has the power to change the future. none of this can happen without your help. please bring any uniqlo items you no longer need to a re.uniqlo recycling box.",not_greenwashing,"The claim describes Uniqlo's ""RE.UNIQLO"" framework, which focuses on reducing waste and promoting circularity through reducing, reusing, and recycling clothing. The provided context shows Uniqlo is taking concrete steps towards these goals, such as having RE.UNIQLO STUDIO booths in 35 stores (KPIObservation), increasing the use of recycled materials to 8.5% in 2023 (KPIObservation), and cumulatively collecting 54.63 million used clothing items (KPIObservation). These actions support the claim that Uniqlo is actively working to maximize the utility of its clothing and contribute to a circular society.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Buy less, demand more","buy less, demand more",not_greenwashing,"The claim ""Buy less, demand more"" aligns with Patagonia's documented initiatives and goals focused on minimizing supply chain impacts and promoting responsible consumption. The context shows Patagonia actively works to reduce its environmental footprint and supports fair labor practices, which supports the sentiment of the claim. While a marketing slogan, it is consistent with the company's demonstrated actions.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Carbon negative carpet tile changed everything for us. We now know it’s possible to store more carbon than we emit. We want to challenge ourselves and others to become carbon negative, enterprise wide, without offsets. This is an important step on our journey to reverse global warming.","carbon negative carpet tile changed everything for us. we now know it’s possible to store more carbon than we emit. we want to challenge ourselves and others to become carbon negative, enterprise wide, without offsets. this is an important step on our journey to reverse global warming.",not_greenwashing,"The claim states Interface is carbon negative and aims to be carbon negative enterprise-wide without offsets. The provided context demonstrates Interface has significantly reduced its carbon footprint over time (e.g., 96% reduction in carpet manufacturing emissions, reduction in GHG emissions per unit of carpet tile product) and has retired a substantial amount of emissions reduction credits. While the context doesn't explicitly state current carbon negativity *enterprise-wide*, it shows a clear and consistent effort towards substantial emissions reduction and carbon offsetting, supporting the claim that they are actively working towards and potentially achieving carbon negativity. The claim of wanting to challenge others to do the same is a statement of intent, not a verifiable claim.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Claimed their bottles were made from 100% recycled ocean plastic. In an image showing a  plastic spray bottle of Windex cleaner in front of a pile of colorful plastic bottles. The pile of plastic bottles is submerged in water, suggesting it is ocean plastic.","claimed their bottles were made from 100% recycled ocean plastic. in an image showing a  plastic spray bottle of windex cleaner in front of a pile of colorful plastic bottles. the pile of plastic bottles is submerged in water, suggesting it is ocean plastic.",greenwashing,"The claim states the bottles are made from ""100% recycled ocean plastic."" While Windex does collect plastic and uses recycled content in its bottles, the provided context shows varying percentages of recycled content in different packaging (e.g., 100% recycled content in Windex Original Glass Cleaner bottles, 19% post-industrial recycled materials in pulp packaging, 49% post-consumer recycled materials). The claim implies *all* bottles are made entirely from ocean plastic, which is not supported by the data. The image accompanying the claim further reinforces this misleading impression.",graphrag,3.0,4.0,4.0,4.0,5.0,4.0
Claims their single-use plastic coffee pods are easily recyclable.,claims their single-use plastic coffee pods are easily recyclable.,greenwashing,"While Keurig reports increasing percentages of recyclable or compostable packaging (ranging from 64% to 90% depending on the year and metric), and increasing post-consumer recycled content (up to 18% in 2022), the claim that their single-use plastic coffee pods are ""easily recyclable"" is misleading. The data shows that a significant portion of their packaging is *not* easily recyclable, and the percentage of recycled content remains relatively low. Furthermore, previous investigations (as noted in Example 4) have found that K-Cups are often not accepted in municipal recycling programs.",graphrag,4.0,4.0,4.0,4.0,5.0,4.2
"Designed with Impact in Mind: We transform waste streams into nature positive products, engineered for a second life.","designed with impact in mind: we transform waste streams into nature positive products, engineered for a second life.",not_greenwashing,"The provided context demonstrates that ChopValue actively measures and reports on positive environmental impacts, specifically related to waste reduction and carbon emissions. The claim that they ""transform waste streams into nature positive products"" is supported by multiple KPIObservations, including significant reductions in CO2 emissions (up to 113% compared to commercial materials), diversion of waste from landfills (412226.52 kg in 2023), and carbon storage in their materials (1681 kg CO2/m³). The company also has a stated goal of transforming 100 metric tonnes of waste into resources. These data points substantiate the claim of creating ""nature positive products.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"EvoluSHEIN is Shein’s first ‘sustainable’ clothing collection. According to the brand, this is “a purpose-driven collection with a positive vision for the future."" On their website, they have stated that these garments are made from recycled materials, sent to customers in 100% recycled packaging","evolushein is shein’s first ‘sustainable’ clothing collection. according to the brand, this is “a purpose-driven collection with a positive vision for the future."" on their website, they have stated that these garments are made from recycled materials, sent to customers in 100% recycled packaging",greenwashing,"While Shein states the garments are made from recycled materials and shipped in 100% recycled packaging, the provided context reveals that only 2.2% of SHEIN-branded products are currently produced in accordance with the evoluSHEIN Standard (as of 2023). Additionally, recycled polyester only makes up 6% of their total polyester sourcing. These figures demonstrate that the claim of a ""sustainable"" collection is a partial truth presented as a whole, as the vast majority of Shein's products do not meet these standards.",graphrag,4.0,5.0,4.0,4.0,5.0,4.4
"From materials to transport, we’re working to reduce our carbon footprint to near zero. Holding ourselves accountable and striving for climate goals isn’t a 30-year goal—it’s now.","from materials to transport, we’re working to reduce our carbon footprint to near zero. holding ourselves accountable and striving for climate goals isn’t a 30-year goal—it’s now.",not_greenwashing,"The provided context demonstrates that allbirds is actively measuring and reporting on its carbon footprint, with both achieved reductions and future targets. Multiple KPIObservation entries show reductions in GHG emissions from various sources (responsible energy, regenerative agriculture, renewable materials) and targets for further reductions across Scope 1, 2, and 3 emissions, as well as product carbon footprint. This supports the claim that they are working to reduce their carbon footprint and are holding themselves accountable to climate goals.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"In 2020, 97% of our product packaging, by volume, was what we consider to be 'Zero Waste -reusable or recyclable.","in 2020, 97% of our product packaging, by volume, was what we consider to be 'zero waste -reusable or recyclable.",not_greenwashing,"The provided context indicates that in 2023, 99% of Seventh Generation's packaging was designed to be reusable or recyclable. While the claim states 97% in 2020, the context shows a higher percentage in a more recent year, supporting the general sentiment of the claim. Therefore, the claim is factually accurate based on the available information.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
Launched a sustainable fashion campaign with Kourtney Kardashian as the face.,launched a sustainable fashion campaign with kourtney kardashian as the face.,not_greenwashing,"The provided context details a collaboration between boohoo and Kourtney Kardashian to promote sustainable fashion, educate consumers, and explore sustainable fabrics and practices. The campaign included an educational documentary, a fashion show, clothing swaps, and social media engagement reaching hundreds of millions of people. While the campaign itself doesn't guarantee boohoo is fully sustainable, the context demonstrates concrete actions taken to address sustainability concerns and engage customers in the topic, supporting the claim that a sustainable fashion campaign was launched. There is no evidence to suggest the campaign is misleading or false.",rag,5.0,5.0,5.0,5.0,5.0,5.0
Loop And Swoop: Our laces are made from 100% post-consumer recycled polyester. One old plastic bottle becomes one pair of shoelaces.,loop and swoop: our laces are made from 100% post-consumer recycled polyester. one old plastic bottle becomes one pair of shoelaces.,not_greenwashing,"The claim that ""One old plastic bottle becomes one pair of shoelaces"" is supported by the provided context, which details the company's commitment to using 100% post-consumer recycled polyester. While the context doesn't explicitly state the 1:1 ratio, it aligns with the overall goal of replacing virgin petroleum-based materials with recycled alternatives and reducing raw material use. The company is actively working towards increasing sustainably sourced materials to 75% by 2025, and the use of recycled polyester contributes to this goal. Therefore, the claim appears factually accurate based on the information provided.",rag,5.0,5.0,5.0,5.0,5.0,5.0
"Made from 100% recycled PET bottles” accompanied by an asterisk after the claim, leading to “*does not refer to the label and cap”.","made from 100% recycled pet bottles” accompanied by an asterisk after the claim, leading to “*does not refer to the label and cap”.",greenwashing,"The claim states the bottles are ""Made from 100% recycled PET bottles” but immediately clarifies with an asterisk that this “*does not refer to the label and cap”. This means the bottles are not entirely made from recycled PET, only the bottle itself, presenting a partial truth as a whole.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Marketed a range of products labeled ""Aware"".","marketed a range of products labeled ""aware"".",abstain,"The provided context details various sustainability-related KPIs reported by Amazon, such as sustainable sourcing of cotton and paper, and increasing the number of certified diverse suppliers. However, it does not provide any information about the ""Aware"" product line or what specific claims are being made about it. Therefore, I cannot determine if the marketing of these products as ""Aware"" constitutes greenwashing or not.",graphrag,1.0,1.0,1.0,1.0,1.0,1.0
Meat alternative brand Quorn Foods claims in a YouTube video that its Thai Wonder Grains “lunch pot” is a step in the right direction to addressing climate change because it “helps us reduce our carbon footprint.”,meat alternative brand quorn foods claims in a youtube video that its thai wonder grains “lunch pot” is a step in the right direction to addressing climate change because it “helps us reduce our carbon footprint.”,abstain,"The provided context details various KPIs reported by Quorn Foods demonstrating reductions in environmental impact *compared to pork and beef*. However, it does not provide information about the overall carbon footprint of the ""Thai Wonder Grains” lunch pot itself, nor does it offer a comprehensive assessment of its climate impact. Therefore, I cannot verify whether the claim that it ""helps us reduce our carbon footprint"" is factually accurate or misleading. The data shows relative reductions, but not absolute impact.",graphrag,3.0,4.0,4.0,4.0,4.0,3.8
"Naturepedic's mission includes a strong focus on environmental sustainability. From responsibly sourcing natural and certified organic materials to becoming the first mattress manufacturer ever to earn the EWG VERIFIED® distinction to implementing a packaging system that helps keep 55,000 pounds of single-use plastic out of landfills each year, we are continuously working to improve.","naturepedic's mission includes a strong focus on environmental sustainability. from responsibly sourcing natural and certified organic materials to becoming the first mattress manufacturer ever to earn the ewg verified® distinction to implementing a packaging system that helps keep 55,000 pounds of single-use plastic out of landfills each year, we are continuously working to improve.",not_greenwashing,"The claim that Naturepedic focuses on environmental sustainability is supported by multiple pieces of evidence from the provided context. These include earning the EWG VERIFIED® distinction, responsibly sourcing materials, reducing plastic waste (55,000 pounds annually), using third-party certifications, prioritizing FSC-certified wood, requiring suppliers to meet organic/non-toxic standards, and working to divert mattresses from landfills. These are all verifiable sustainability efforts.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Naturepedic’s line of certified organic mattresses are now EWG VERIFIED! As the “First in Category” to receive this distinction, we couldn’t be prouder to lead the industry in setting a new standard for providing safer, healthier sleep for people, the planet, and YOU.","naturepedic’s line of certified organic mattresses are now ewg verified! as the “first in category” to receive this distinction, we couldn’t be prouder to lead the industry in setting a new standard for providing safer, healthier sleep for people, the planet, and you.",not_greenwashing,"The claim states that Naturepedic’s line of certified organic mattresses are now EWG VERIFIED and are “First in Category” to receive this distinction. While the provided context does not explicitly mention the EWG VERIFIED certification, it does detail numerous sustainability initiatives and certifications related to organic materials, responsible manufacturing, and end-of-life practices. The context supports the company's commitment to safer and healthier products, making the claim plausible and not demonstrably false based on the available information.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
Oatly generates 73% less CO2e VS cows milk,oatly generates 73% less co2e vs cows milk,not_greenwashing,"The provided context shows Oatly reports a climate impact reduction of up to 80% compared to cow's milk (KPIObservation keys: 79fb9474ebb6a69b, f194d784a9faa66d, 434d56dc1553e556). While the claim states ""73% less CO2e VS cows milk"", the data shows a range of reductions, with some exceeding 73%. The claim is therefore supported by the available data, even if it doesn't represent the maximum reduction achieved.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
Our circular material is better for you and the planet. Every product made from our engineered performance material means fewer trees cut down for wooden furniture.,our circular material is better for you and the planet. every product made from our engineered performance material means fewer trees cut down for wooden furniture.,not_greenwashing,"The claim states that ChopValue's material is ""better for you and the planet"" because it means ""fewer trees cut down for wooden furniture."" The provided context supports this claim. The report details how ChopValue utilizes waste chopsticks, reducing reliance on virgin materials like wood. It highlights CO2 savings compared to conventional materials (up to 16,228 kg CO2/m³), emphasizes the elimination of long-distance transportation, and details the company's commitment to sustainable practices throughout its production process. The context demonstrates a factual basis for the claim that using ChopValue's material reduces the demand for wood and offers environmental benefits.",rag,5.0,5.0,5.0,5.0,5.0,5.0
"Our founder, Anita Roddick, initiated our first recycling scheme Bring Back Our Bottles in 1993. Then, in 2019, we launched our Return, Recycle, Repeat scheme in five countries. In 2020, we started a refill revolution with refill stations across 500 stores globally. And now, our Return, Recycle, Repeat scheme is back.","our founder, anita roddick, initiated our first recycling scheme bring back our bottles in 1993. then, in 2019, we launched our return, recycle, repeat scheme in five countries. in 2020, we started a refill revolution with refill stations across 500 stores globally. and now, our return, recycle, repeat scheme is back.",not_greenwashing,"The claim details a history of recycling and refill initiatives by The Body Shop, starting in 1993 and expanding over time. The provided context supports this claim with specific data points, such as 793 in-store refill stations in 2022, 13.5 tonnes of plastic waste prevented by the refill scheme in 2022, and 11.51 tonnes of hard-to-recycle beauty packaging collected in the UK through the Return Recycle Repeat scheme in 2022. These figures demonstrate ongoing and measurable efforts towards recycling and waste reduction, validating the claim.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"OUR SUSTAINABLY SOURCED INGREDIENTS In the southern region of France, we source our organically grown lavandin and thyme. Our sustainable sourcing program contributes to maintaining local biodiversity, expanding organic farming, and supporting local farmers.","our sustainably sourced ingredients in the southern region of france, we source our organically grown lavandin and thyme. our sustainable sourcing program contributes to maintaining local biodiversity, expanding organic farming, and supporting local farmers.",not_greenwashing,"The claim states that Garnier sources organically grown lavandin and thyme from Southern France, contributing to biodiversity, organic farming, and supporting local farmers. The provided context shows Garnier reports on several sustainability KPIs, including percentages of bio-based and sustainably sourced ingredients (e.g., 89% of biobased ingredients sustainably sourced in 2022). While the specific claim about lavandin and thyme isn't directly verified in the provided data, the overall data supports Garnier's commitment to sustainable sourcing and aligns with the claim's assertions.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
Promoted Hefty Recycling Bags as capable of handling any recyclable item.,promoted hefty recycling bags as capable of handling any recyclable item.,greenwashing,"The claim that Hefty Recycling Bags can handle *any* recyclable item is misleading. While Reynolds Consumer Products promotes sustainable solutions like recycling bags and the EnergyBag Program (as evidenced in the provided context), this does not equate to the ability to recycle *any* item with their bags. Recycling capabilities are determined by local municipal guidelines, and not all items are universally recyclable. The claim presents a partial truth (they offer recycling *options*) as a whole truth (can recycle *anything*).",graphrag,4.0,4.0,4.0,4.0,5.0,4.2
"Style meets sustainability in our innovative new ASOS line, which is all about future-proofing fashion. So, not only are these pieces as eco-friendly as possible, they’re also 100% on-point. Think fresh cuts in the season’s key colours, with some throwback ’90s vibes added in for good measure. The kind of fashion that’s good for your wardrobe, and better for the environment.","style meets sustainability in our innovative new asos line, which is all about future-proofing fashion. so, not only are these pieces as eco-friendly as possible, they’re also 100% on-point. think fresh cuts in the season’s key colours, with some throwback ’90s vibes added in for good measure. the kind of fashion that’s good for your wardrobe, and better for the environment.",abstain,"The claim states the new ASOS line is ""as eco-friendly as possible"" and ""better for the environment."" While ASOS has stated sustainability commitments and targets (e.g., 100% sustainable packaging by 2025, 100% sustainable materials by 2030), the provided context does not contain specific information about the materials, manufacturing processes, or overall environmental impact of *this specific new line*. Therefore, I cannot verify whether the claim of being ""as eco-friendly as possible"" is factually accurate or misleading. The claim is too vague without supporting details.",graphrag,3.0,3.0,3.0,4.0,2.0,3.0
"The ad is designed to look like a two-page spread in a newspaper.  The left-hand side of the ad says ""We bought this two-page ad to tell you we've been including climate footprint numbers on our products so they can tell you their climate footprint numbers too."" The right-hand side of the ad says ""We're donating this page to the dairy industry so they can tell you their climate footprint numbers too."" There is a large Oatly logo in the bottom right corner of the ad.  Below the ad copy, there is a section that says ""Climate Footprint Oat Milk 0.62 kg CO₂e/kg.""","the ad is designed to look like a two-page spread in a newspaper.  the left-hand side of the ad says ""we bought this two-page ad to tell you we've been including climate footprint numbers on our products so they can tell you their climate footprint numbers too."" the right-hand side of the ad says ""we're donating this page to the dairy industry so they can tell you their climate footprint numbers too."" there is a large oatly logo in the bottom right corner of the ad.  below the ad copy, there is a section that says ""climate footprint oat milk 0.62 kg co₂e/kg.""",not_greenwashing,The claim accurately reflects Oatly's advertising strategy and reported climate footprint data. The provided context confirms Oatly publishes climate footprint numbers for its products (0.62 kg CO₂e/kg) and is actively encouraging other dairy companies to do the same. This is a verifiable fact based on the description of the ad and the stated climate footprint number.,graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"The Fairphone 4’s body is machined from aluminum from ASI certified vendors. To top it off, we’ve designed it with a 100% recycled plastic back cover. Using fairer materials as much as possible.","the fairphone 4’s body is machined from aluminum from asi certified vendors. to top it off, we’ve designed it with a 100% recycled plastic back cover. using fairer materials as much as possible.",not_greenwashing,"The claim that ""The Fairphone 4’s body is machined from aluminum from ASI certified vendors. To top it off, we’ve designed it with a 100% recycled plastic back cover. Using fairer materials as much as possible"" is supported by the provided context. Multiple snippets confirm the use of 100% ASI certified aluminum (from an ASI certified vendor) for the mid-frame and 100% recycled plastics for the back cover of the Fairphone 4. The context also details the broader commitment to fair materials throughout the phone's components. Therefore, the claim is factually accurate based on the provided evidence.",rag,5.0,5.0,5.0,5.0,5.0,5.0
The Future of Furniture Is Circular Climate positive wood furniture made locally on a global scale,the future of furniture is circular climate positive wood furniture made locally on a global scale,not_greenwashing,"The claim that ChopValue creates ""climate positive"" furniture is supported by the provided context. The company reports saving 578 kgCO2 per cubic meter of furniture compared to commercial material (evidence node 9903824ee7f8244c), and avoids significant CO2 emissions through its use of bamboo and circular economy practices (nodes 5df44d7aea2f7d1e, 56541f9eb8c38687). The context demonstrates a commitment to circularity and environmental stewardship (node bcd5b80b840b7591, f10c3e860cc879ea).",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"The poster featured an aerial image of waves crashing on a shore with text that stated ""Climate change doesn’t do borders. Neither do rising sea levels. That’s why HSBC is aiming to provide up to $1 trillion in financing and investment globally to help our clients transition to net zero”.","the poster featured an aerial image of waves crashing on a shore with text that stated ""climate change doesn’t do borders. neither do rising sea levels. that’s why hsbc is aiming to provide up to $1 trillion in financing and investment globally to help our clients transition to net zero”.",not_greenwashing,"The claim states HSBC is aiming to provide up to $1 trillion in financing and investment to help clients transition to net zero. While the provided context doesn't directly confirm this specific $1 trillion figure, it *does* demonstrate HSBC has established numerous KPIs and targets related to sustainable finance, emissions reduction, and climate risk assessment (as evidenced by the 15 KPIObservations). This suggests a genuine commitment to supporting the transition to net zero, making the claim plausible and not demonstrably false based on the available information.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"The poster featured an image of tree growth rings with text that stated ""Climate changes doesn’t do borders. So in the UK, we’re helping to plant 2 million trees which will lock in 1.25 million tonnes of carbon over their lifetime"".","the poster featured an image of tree growth rings with text that stated ""climate changes doesn’t do borders. so in the uk, we’re helping to plant 2 million trees which will lock in 1.25 million tonnes of carbon over their lifetime"".",abstain,"The claim states HSBC is ""helping to plant 2 million trees which will lock in 1.25 million tonnes of carbon over their lifetime."" While the knowledge graph shows HSBC reports on various greenhouse gas emissions and carbon-related targets and achievements (e.g., investments in nature-based carbon programs), it does not contain specific information about a tree-planting initiative of this scale or the associated carbon sequestration estimate. Therefore, I cannot verify the claim's accuracy.",graphrag,3.0,4.0,4.0,4.0,4.0,3.8
