claim,gold_label,company,year,original_text,page_number,promise_status,verification_timeline,evidence_status,evidence_quality,source_url
"Kering proudly claims to be a leader in sustainability by participating in the Clean by Design program, which is just a mandatory industry initiative.",greenwashing,kering,2020,"Clean by design Collaborating with our suppliers and industry peers to reduce Luxury and fashion’s manufacturing footprint can lead to greater results. So, when the Natural Resources Defense Council came up with an initiative to reduce impacts around energy and water use in textile mills, we immediately signed up. Starting in 2015, the Clean by Design program has since been implemented at 41 of our historical and strategic Tier 1 and 2 suppliers located in Italy across dyeing, printing and ﬁnishing mills, spinning and weaving mills, denim laundries, in 3 wool washing mills and 3 silk reeling mills in China, and 8 in Japan. Some great results followed: averaging 19% in energy savings per site, mainly in the −10% to −20% range with peaks of −40%, and showing a return on investment for participating suppliers in less than 2.5 years in Italy and less than one year in China based on the program’s efﬁciency actions. In 2021, we extended the Clean by Design in Italy with the Apparel Impact Institute, in partnership with Stella McCartney, Burberry and the NGO Legambiente. This collective scaling will augment the success of the program in our industry even further in 2022, and beyond.",21,Yes,Less than 2 years,Yes,Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"Kering has actively engaged in the Clean by Design program, demonstrating a commitment to reducing energy and water use in textile mills, which is a voluntary and collaborative effort beyond legal requirements.",not_greenwashing,kering,2020,"Clean by design Collaborating with our suppliers and industry peers to reduce Luxury and fashion’s manufacturing footprint can lead to greater results. So, when the Natural Resources Defense Council came up with an initiative to reduce impacts around energy and water use in textile mills, we immediately signed up. Starting in 2015, the Clean by Design program has since been implemented at 41 of our historical and strategic Tier 1 and 2 suppliers located in Italy across dyeing, printing and ﬁnishing mills, spinning and weaving mills, denim laundries, in 3 wool washing mills and 3 silk reeling mills in China, and 8 in Japan. Some great results followed: averaging 19% in energy savings per site, mainly in the −10% to −20% range with peaks of −40%, and showing a return on investment for participating suppliers in less than 2.5 years in Italy and less than one year in China based on the program’s efﬁciency actions. In 2021, we extended the Clean by Design in Italy with the Apparel Impact Institute, in partnership with Stella McCartney, Burberry and the NGO Legambiente. This collective scaling will augment the success of the program in our industry even further in 2022, and beyond.",21,Yes,Less than 2 years,Yes,Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
Kering boasts about achieving 19% energy savings on average per site through the Clean by Design program without providing detailed data or third-party verification.,greenwashing,kering,2020,"Clean by design Collaborating with our suppliers and industry peers to reduce Luxury and fashion’s manufacturing footprint can lead to greater results. So, when the Natural Resources Defense Council came up with an initiative to reduce impacts around energy and water use in textile mills, we immediately signed up. Starting in 2015, the Clean by Design program has since been implemented at 41 of our historical and strategic Tier 1 and 2 suppliers located in Italy across dyeing, printing and ﬁnishing mills, spinning and weaving mills, denim laundries, in 3 wool washing mills and 3 silk reeling mills in China, and 8 in Japan. Some great results followed: averaging 19% in energy savings per site, mainly in the −10% to −20% range with peaks of −40%, and showing a return on investment for participating suppliers in less than 2.5 years in Italy and less than one year in China based on the program’s efﬁciency actions. In 2021, we extended the Clean by Design in Italy with the Apparel Impact Institute, in partnership with Stella McCartney, Burberry and the NGO Legambiente. This collective scaling will augment the success of the program in our industry even further in 2022, and beyond.",21,Yes,Less than 2 years,Yes,Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"Kering leads the Fashion Pact, an alliance that aims to tackle climate, ocean, and biodiversity issues, showcasing the company's commitment to sustainability.",not_greenwashing,kering,2020,"Leading alliances Equally important to drive the sustainability agenda forward is collaboration among our industry peers. If we are to scale innovation and reach critical mass adoption for sustainability solutions, it’s essential that we deﬁne our collective issues and work together on them. With these goals in mind, we’ve led the creation of two successful coalitions. The Fashion Pact, originally established by Kering in 2019, includes 250 brands, representing more than a third in production volume of the textile and fashion industry, working towards three pillars: Climate, Oceans and Biodiversity. By the end of 2022, more than 14 collective projects were in play. The Fashion Pact announced its ﬁrst major project in 2022, with the CEOs of 12 member companies, including Kering, committing to generate 100,000 MWh of solar energy every year to feed it into the grid. By increasing the availability of renewable energy for purchase, the “Collective Virtual Power Purchasing Agreement” will reduce emissions for the entire sector over the long term. In 2021, we replicated the successful Fashion Pact model for the watches and jewellery sector and launched the “Watch & Jewellery Initiative 2030” with Cartier. Bringing together 27 member companies by the end of 2022, the coalition focuses on common objectives across three priorities: building climate resilience, conserving resources and fostering inclusion.",21,Yes,2 to 5 years,Yes,Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"Kering spearheaded the Fashion Pact, an initiative that includes over 250 brands, but fails to mention that the coalition's success depends on voluntary commitments that may not be enforceable.",greenwashing,kering,2020,"Leading alliances Equally important to drive the sustainability agenda forward is collaboration among our industry peers. If we are to scale innovation and reach critical mass adoption for sustainability solutions, it’s essential that we deﬁne our collective issues and work together on them. With these goals in mind, we’ve led the creation of two successful coalitions. The Fashion Pact, originally established by Kering in 2019, includes 250 brands, representing more than a third in production volume of the textile and fashion industry, working towards three pillars: Climate, Oceans and Biodiversity. By the end of 2022, more than 14 collective projects were in play. The Fashion Pact announced its ﬁrst major project in 2022, with the CEOs of 12 member companies, including Kering, committing to generate 100,000 MWh of solar energy every year to feed it into the grid. By increasing the availability of renewable energy for purchase, the “Collective Virtual Power Purchasing Agreement” will reduce emissions for the entire sector over the long term. In 2021, we replicated the successful Fashion Pact model for the watches and jewellery sector and launched the “Watch & Jewellery Initiative 2030” with Cartier. Bringing together 27 member companies by the end of 2022, the coalition focuses on common objectives across three priorities: building climate resilience, conserving resources and fostering inclusion.",21,Yes,2 to 5 years,Yes,Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"Kering initiated the Watch & Jewellery Initiative 2030, a coalition focused on climate resilience, resource conservation, and inclusion, demonstrating a proactive approach to sustainability.",not_greenwashing,kering,2020,"Leading alliances Equally important to drive the sustainability agenda forward is collaboration among our industry peers. If we are to scale innovation and reach critical mass adoption for sustainability solutions, it’s essential that we deﬁne our collective issues and work together on them. With these goals in mind, we’ve led the creation of two successful coalitions. The Fashion Pact, originally established by Kering in 2019, includes 250 brands, representing more than a third in production volume of the textile and fashion industry, working towards three pillars: Climate, Oceans and Biodiversity. By the end of 2022, more than 14 collective projects were in play. The Fashion Pact announced its ﬁrst major project in 2022, with the CEOs of 12 member companies, including Kering, committing to generate 100,000 MWh of solar energy every year to feed it into the grid. By increasing the availability of renewable energy for purchase, the “Collective Virtual Power Purchasing Agreement” will reduce emissions for the entire sector over the long term. In 2021, we replicated the successful Fashion Pact model for the watches and jewellery sector and launched the “Watch & Jewellery Initiative 2030” with Cartier. Bringing together 27 member companies by the end of 2022, the coalition focuses on common objectives across three priorities: building climate resilience, conserving resources and fostering inclusion.",21,Yes,2 to 5 years,Yes,Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
Kering's Qeelin has pledged to improve the panda's natural habitat and promote sustainable consumption through a charity necklace collaboration with WWF.,greenwashing,kering,2020,"Spotlight Qeelin Pledging to play a greater role in improving the panda’s natural habitat and promote sustainable consumption, Qeelin launched Silver Bo Bo Charity necklace in collaboration with WWF and donated RMB888 from the proceeds of each necklace sold to support the organization’s annual initiatives.",21,Yes,2 to 5 years,Yes,Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"Kering's Qeelin has pledged to improve the panda's natural habitat and promote sustainable consumption through a charity necklace collaboration with WWF, with a donation of RMB888 from each necklace sold to support WWF's annual initiatives.",not_greenwashing,kering,2020,"Spotlight Qeelin Pledging to play a greater role in improving the panda’s natural habitat and promote sustainable consumption, Qeelin launched Silver Bo Bo Charity necklace in collaboration with WWF and donated RMB888 from the proceeds of each necklace sold to support the organization’s annual initiatives.",21,Yes,2 to 5 years,Yes,Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
Kering's Qeelin has donated RMB888 from the proceeds of each Silver Bo Bo Charity necklace sold to support WWF's annual initiatives.,greenwashing,kering,2020,"Spotlight Qeelin Pledging to play a greater role in improving the panda’s natural habitat and promote sustainable consumption, Qeelin launched Silver Bo Bo Charity necklace in collaboration with WWF and donated RMB888 from the proceeds of each necklace sold to support the organization’s annual initiatives.",21,Yes,2 to 5 years,Yes,Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"Kering's Qeelin has donated RMB888 from the proceeds of each Silver Bo Bo Charity necklace sold to support WWF's annual initiatives, which include various panda conservation projects.",not_greenwashing,kering,2020,"Spotlight Qeelin Pledging to play a greater role in improving the panda’s natural habitat and promote sustainable consumption, Qeelin launched Silver Bo Bo Charity necklace in collaboration with WWF and donated RMB888 from the proceeds of each necklace sold to support the organization’s annual initiatives.",21,Yes,2 to 5 years,Yes,Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
Kering's Qeelin markets the Silver Bo Bo Charity necklace as a sustainable product due to the donation to WWF.,greenwashing,kering,2020,"Spotlight Qeelin Pledging to play a greater role in improving the panda’s natural habitat and promote sustainable consumption, Qeelin launched Silver Bo Bo Charity necklace in collaboration with WWF and donated RMB888 from the proceeds of each necklace sold to support the organization’s annual initiatives.",21,Yes,2 to 5 years,Yes,Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"usbank's strong culture of risk management includes policies that ensure the company avoids activities that could harm the environment, thereby supporting sustainability.",not_greenwashing,usbank,2022,"A strong culture of risk management Our culture is built on understanding and managing risk, with every employee taking responsibility appropriate to their level. The following foundational principles guide our people in their decision-making: We undertake risk prudently to support proﬁtable revenue growth. We avoid undue concentrations of risk. We maintain suﬃcient capital and liquidity to withstand times of stress. We avoid unnecessary complexity. We avoid activities that may damage our reputation.",20,Yes,Already,No,,https://ir.usbank.com/files/doc_financials/2022/ESG-Report-2022-Final_ADA.pdf
U.S. Bancorp's Environmental and Social Risk Policy ensures that all clients are eco-friendly and sustainable.,greenwashing,usbank,2022,"Environment & social risk policy At U.S. Bancorp, we actively participate in thoughtful and respectful discussions on topics that are consistent with our core values, impact our communities and aﬀect our company’s long-term ability to do business. As a ﬁnancial institution, our focus is on providing access to ﬁnancial services in a way that upholds all applicable state, federal and local laws and regulations. We continuously review our policies to ensure they align with changes in legislation and regulation. To that end, current or potential relationships that present risk factors, including legal or reputation risk, that collectively pose unacceptable risk are prohibited. Relationships that present substantial potential or actual risk require additional due diligence and elevated levels of approvals as set forth by internal policy and process. It is critical for our company to follow an enterprise-wide framework for identifying and managing the risk associated with doing business with clients that are engaged in activities with speciﬁc environmental and social impacts. Our Environmental and Social Risk Policy (ESRP) statement formalizes key principles and outlines our approach to manage prospective or active relationships that may present legal, regulatory, political, ethical, environmental or social responsibility factors, which may create elevated risk for the company. Should we determine that an existing or prospective relationship presents elevated risk to the company, we determine whether that risk can be mitigated and, if not, we determine appropriate actions, which can include choosing to maintain, reduce or exit our business with the client.",21,Yes,More than 5 years,No,,https://ir.usbank.com/files/doc_financials/2022/ESG-Report-2022-Final_ADA.pdf
"U.S. Bancorp's Environmental and Social Risk Policy includes a detailed framework for identifying and managing risks associated with clients' environmental and social impacts, ensuring compliance with all applicable laws and regulations.",not_greenwashing,usbank,2022,"Environment & social risk policy At U.S. Bancorp, we actively participate in thoughtful and respectful discussions on topics that are consistent with our core values, impact our communities and aﬀect our company’s long-term ability to do business. As a ﬁnancial institution, our focus is on providing access to ﬁnancial services in a way that upholds all applicable state, federal and local laws and regulations. We continuously review our policies to ensure they align with changes in legislation and regulation. To that end, current or potential relationships that present risk factors, including legal or reputation risk, that collectively pose unacceptable risk are prohibited. Relationships that present substantial potential or actual risk require additional due diligence and elevated levels of approvals as set forth by internal policy and process. It is critical for our company to follow an enterprise-wide framework for identifying and managing the risk associated with doing business with clients that are engaged in activities with speciﬁc environmental and social impacts. Our Environmental and Social Risk Policy (ESRP) statement formalizes key principles and outlines our approach to manage prospective or active relationships that may present legal, regulatory, political, ethical, environmental or social responsibility factors, which may create elevated risk for the company. Should we determine that an existing or prospective relationship presents elevated risk to the company, we determine whether that risk can be mitigated and, if not, we determine appropriate actions, which can include choosing to maintain, reduce or exit our business with the client.",21,Yes,More than 5 years,No,,https://ir.usbank.com/files/doc_financials/2022/ESG-Report-2022-Final_ADA.pdf
"** US Bank claims that its monitoring and destruction of records is a comprehensive sustainability effort, while ignoring the significant environmental impact of data storage and destruction processes.",greenwashing,usbank,2022,"DATA CLASSIFICATION & RETENTION The EDPP Program has integrated our data classiﬁcation approach with technology tools to ensure appropriate data protection. We educate our employees on how to appropriately use our data classiﬁcation labels in everyday business practices. Our company has deployed data labeling of emails and documents to facilitate information protection measures based upon the data classiﬁcation label. Additionally, the EDPP Program maintains an enterprise record retention schedule. The record retention schedule outlines how long oﬃcial records must be retained in compliance with legal, regulatory and operational requirements. The program performs monitoring to verify oﬃcial records stored with the preferred vendor are destroyed when the destruction eligibility date is met in alignment with the schedule. We monitor the destruction eligibility dates for all records in storage and obtain a certiﬁcation of destruction from the vendor to validate destruction of records.",22,Yes,Already,Yes,Clear,https://ir.usbank.com/files/doc_financials/2022/ESG-Report-2022-Final_ADA.pdf
ArabBank believes that financial services can help tackle climate change and create a better world for future generations by financing projects that have a positive impact on the environment.,greenwashing,arabbank,2022,"Environmental Finance We believe that ﬁnancial services can help tackle climate change and create a better world for future generations. That is why we focus on ﬁnancing project that have a positive impact on the environment. Environmental ﬁnance focuses speciﬁcally on ﬁnancing projects and initiatives that have a positive impact on the environment. This includes projects related to renewable energy, energy eﬃciency, clean transportation, green building, pollution prevention and control, and climate change mitigation and adaptation.Whether through investing in environmental projects, or through providing our customers with green products or services, we believe that this will support eﬀorts towards addressing environmental challenges and promoting a more sustainable economy. Green Infrastructure Finance We play a major role in ﬁnancing a more sustainable economy and the transition to a low-carbon economy through our green infrastructure ﬁnance activities, which also represent a major growth opportunity for our business and our clients. By investing in the deployment of large-scale renewable energy projects, we are adding to the global eﬀort to combat climate change and contributing to the achievement of the SDGs Approximately 1,271,000 tons CO2eGHG emissions avoided since 2012785 MW of Renewable Energy Added to the Jordanian Grid since 2012 Since 2012, the bank has provided over USD 303 million in loans and facilities for green projects.",16,Yes,2 to 5 years,Yes,Clear,https://www.arabbank.com/docs/default-source/sustainability-reports/esg-report-2022.pdf?sfvrsn=712be09f_8
"ArabBank has financed projects that have led to the avoidance of approximately 1,271,000 tons of CO2e GHG emissions since 2012.",not_greenwashing,arabbank,2022,"Environmental Finance We believe that ﬁnancial services can help tackle climate change and create a better world for future generations. That is why we focus on ﬁnancing project that have a positive impact on the environment. Environmental ﬁnance focuses speciﬁcally on ﬁnancing projects and initiatives that have a positive impact on the environment. This includes projects related to renewable energy, energy eﬃciency, clean transportation, green building, pollution prevention and control, and climate change mitigation and adaptation.Whether through investing in environmental projects, or through providing our customers with green products or services, we believe that this will support eﬀorts towards addressing environmental challenges and promoting a more sustainable economy. Green Infrastructure Finance We play a major role in ﬁnancing a more sustainable economy and the transition to a low-carbon economy through our green infrastructure ﬁnance activities, which also represent a major growth opportunity for our business and our clients. By investing in the deployment of large-scale renewable energy projects, we are adding to the global eﬀort to combat climate change and contributing to the achievement of the SDGs Approximately 1,271,000 tons CO2eGHG emissions avoided since 2012785 MW of Renewable Energy Added to the Jordanian Grid since 2012 Since 2012, the bank has provided over USD 303 million in loans and facilities for green projects.",16,Yes,2 to 5 years,Yes,Clear,https://www.arabbank.com/docs/default-source/sustainability-reports/esg-report-2022.pdf?sfvrsn=712be09f_8
ArabBank's green infrastructure finance activities represent a major growth opportunity for the business and clients.,greenwashing,arabbank,2022,"Environmental Finance We believe that ﬁnancial services can help tackle climate change and create a better world for future generations. That is why we focus on ﬁnancing project that have a positive impact on the environment. Environmental ﬁnance focuses speciﬁcally on ﬁnancing projects and initiatives that have a positive impact on the environment. This includes projects related to renewable energy, energy eﬃciency, clean transportation, green building, pollution prevention and control, and climate change mitigation and adaptation.Whether through investing in environmental projects, or through providing our customers with green products or services, we believe that this will support eﬀorts towards addressing environmental challenges and promoting a more sustainable economy. Green Infrastructure Finance We play a major role in ﬁnancing a more sustainable economy and the transition to a low-carbon economy through our green infrastructure ﬁnance activities, which also represent a major growth opportunity for our business and our clients. By investing in the deployment of large-scale renewable energy projects, we are adding to the global eﬀort to combat climate change and contributing to the achievement of the SDGs Approximately 1,271,000 tons CO2eGHG emissions avoided since 2012785 MW of Renewable Energy Added to the Jordanian Grid since 2012 Since 2012, the bank has provided over USD 303 million in loans and facilities for green projects.",16,Yes,2 to 5 years,Yes,Clear,https://www.arabbank.com/docs/default-source/sustainability-reports/esg-report-2022.pdf?sfvrsn=712be09f_8
"Arab Bank claims to contribute positively through Environmental Finance solutions, but does not provide specific metrics or definitions for these solutions.",greenwashing,arabbank,2022,"Climate change is one of the greatest challenges facing our global society and economy in the 21st century. Its impact on the physical environment, human health and its potential to adversely impact economic growth is wide spread and proven. At Arab Bank, we recognize the scale of the challenge, and we are fully committed to be part of the solution. As a major ﬁnancial institution in the region, we have a unique role to playin achieving the required transition to a low carbon economy. Our approach to supporting the transition to a low-carbon economy revolves around the following: • Contributing positively through our Environmental Finance solutions, channeled through the bank’s Green Infrastructure Finance and the Sustainable Finance Framework. • Reducing the environmental impacts of our portfolio. • Reducing the environmental impact of our operations. • Reducing the environmental impact of our supply chain.",16,Yes,More than 5 years,Yes,Not Clear,https://www.arabbank.com/docs/default-source/sustainability-reports/esg-report-2022.pdf?sfvrsn=712be09f_8
"Arab Bank claims to contribute positively through Environmental Finance solutions, such as providing detailed metrics on the amount of funds allocated to renewable energy projects.",not_greenwashing,arabbank,2022,"Climate change is one of the greatest challenges facing our global society and economy in the 21st century. Its impact on the physical environment, human health and its potential to adversely impact economic growth is wide spread and proven. At Arab Bank, we recognize the scale of the challenge, and we are fully committed to be part of the solution. As a major ﬁnancial institution in the region, we have a unique role to playin achieving the required transition to a low carbon economy. Our approach to supporting the transition to a low-carbon economy revolves around the following: • Contributing positively through our Environmental Finance solutions, channeled through the bank’s Green Infrastructure Finance and the Sustainable Finance Framework. • Reducing the environmental impacts of our portfolio. • Reducing the environmental impact of our operations. • Reducing the environmental impact of our supply chain.",16,Yes,More than 5 years,Yes,Not Clear,https://www.arabbank.com/docs/default-source/sustainability-reports/esg-report-2022.pdf?sfvrsn=712be09f_8
