claim,claim_norm,label,justification,Informativeness,Logicality,Objectivity,Readability,Accuracy,OverallScore
Launched a sustainable fashion campaign with Kourtney Kardashian as the face.,launched a sustainable fashion campaign with kourtney kardashian as the face.,abstain,"The provided context details various KPIs reported by boohoo, including sustainability-related metrics like recycled content and ethical sourcing. However, it does not contain any information specifically about the ""sustainable fashion campaign"" with Kourtney Kardashian, nor does it provide details about the campaign's claims or initiatives. Therefore, I cannot verify the accuracy or misleading nature of the claim.",1.0,1.0,1.0,1.0,1.0,1.0
"""1.4 million households in the UK use 100% renewable energy from Shell, that its experts were working on a wind project that could power six million homes and that it is fitting 50,000 electric vehicle chargers nationwide by 2025. ""The UK is READY for cleaner energy"" and the hashtag “#PoweringProgress” flashed onscreen in the closing shots of the ads, accompanied by the Shell logo.","""1.4 million households in the uk use 100% renewable energy from shell, that its experts were working on a wind project that could power six million homes and that it is fitting 50,000 electric vehicle chargers nationwide by 2025. ""the uk is ready for cleaner energy"" and the hashtag “#poweringprogress” flashed onscreen in the closing shots of the ads, accompanied by the shell logo.",abstain,"The provided context contains data on Shell's Scope 2 GHG emissions and targets for energy transition jobs, but it does not contain information to verify or refute the specific claims about 1.4 million households using 100% renewable energy from Shell, a wind project powering six million homes, or the installation of 50,000 EV chargers by 2025. While the context shows Shell is involved in renewable energy and emissions reduction, it doesn't confirm the numbers presented in the claim.",3.0,3.0,3.0,4.0,2.0,3.0
"an Instagram post by Brewdog, published on 31 July 2023, featured an image of a poster, containing a childlike drawing of Earth covered in flames. Text accompanying the drawing stated “drink it for me” in the style of a child’s handwriting. Text on the other half of the poster stated “BEER FOR YOUR GRANDCHILDREN”, alongside an image of Brewdog Punk IPA Lager, and a badge with the text “Positive Planet CERTIFIED CARBON NEGATIVE COMPANY”. The caption stated “Beer for your Grandchildren. From the World’s First Carbon Negative brewery. Find out how we’re working to ensure we have a planet to enjoy beer on via the link in our bio”.","an instagram post by brewdog, published on 31 july 2023, featured an image of a poster, containing a childlike drawing of earth covered in flames. text accompanying the drawing stated “drink it for me” in the style of a child’s handwriting. text on the other half of the poster stated “beer for your grandchildren”, alongside an image of brewdog punk ipa lager, and a badge with the text “positive planet certified carbon negative company”. the caption stated “beer for your grandchildren. from the world’s first carbon negative brewery. find out how we’re working to ensure we have a planet to enjoy beer on via the link in our bio”.",greenwashing,"The claim that Brewdog is the ""World’s First Carbon Negative brewery"" and is ""Positive Planet CERTIFIED CARBON NEGATIVE COMPANY"" is contradicted by the provided data. While Brewdog reports various emissions data (Scope 1, 2, and 3) and carbon offset initiatives (like tree planting and carbon credit retirement), the data does not demonstrate overall carbon negativity. The company still generates significant GHG emissions across its operations (e.g., 72584 tonnes CO2e from UK Brewing in 2022). The claim implies a net removal of carbon from the atmosphere, which isn't supported by the reported data.",5.0,5.0,5.0,5.0,5.0,5.0
"The poster featured an aerial image of waves crashing on a shore with text that stated ""Climate change doesn’t do borders. Neither do rising sea levels. That’s why HSBC is aiming to provide up to $1 trillion in financing and investment globally to help our clients transition to net zero”.","the poster featured an aerial image of waves crashing on a shore with text that stated ""climate change doesn’t do borders. neither do rising sea levels. that’s why hsbc is aiming to provide up to $1 trillion in financing and investment globally to help our clients transition to net zero”.",not_greenwashing,"The claim states HSBC is aiming to provide up to $1 trillion in financing and investment to help clients transition to net zero. While the provided context doesn't directly confirm this specific $1 trillion figure, it *does* demonstrate HSBC has established numerous KPIs and targets related to sustainable finance, emissions reduction, and climate risk assessment (as evidenced by the 15 KPIObservations). This suggests a genuine commitment to supporting the transition to net zero, making the claim plausible and not demonstrably false based on the available information.",5.0,5.0,5.0,5.0,5.0,5.0
"The poster featured an image of tree growth rings with text that stated ""Climate changes doesn’t do borders. So in the UK, we’re helping to plant 2 million trees which will lock in 1.25 million tonnes of carbon over their lifetime"".","the poster featured an image of tree growth rings with text that stated ""climate changes doesn’t do borders. so in the uk, we’re helping to plant 2 million trees which will lock in 1.25 million tonnes of carbon over their lifetime"".",abstain,"The claim states HSBC is ""helping to plant 2 million trees which will lock in 1.25 million tonnes of carbon over their lifetime."" While the knowledge graph shows HSBC reports on various greenhouse gas emissions and carbon-related targets and achievements (e.g., investments in nature-based carbon programs), it does not contain specific information about a tree-planting initiative of this scale or the associated carbon sequestration estimate. Therefore, I cannot verify the claim's accuracy.",3.0,4.0,4.0,4.0,4.0,3.8
"A website for Hyundai, included text which stated “All-New NEXO” and “Introducing the next generation of fuel cell vehicles: All-New NEXO. A car so beautifully clean, it purifies the air as it goes”.","a website for hyundai, included text which stated “all-new nexo” and “introducing the next generation of fuel cell vehicles: all-new nexo. a car so beautifully clean, it purifies the air as it goes”.",greenwashing,"The claim states the NEXO ""purifies the air as it goes."" While the vehicle *emits* water vapor, implying air purification is misleading. The provided context shows Hyundai reports various air pollutant emissions (NOx, total air emissions) in tons for different years (2018, 2019, 2020). These emissions demonstrate that the vehicle is not actively purifying the air, but rather still contributing to pollution, even if potentially less than traditional combustion engines. The claim presents a partial truth (water vapor emission) as a whole (air purification).",5.0,5.0,5.0,5.0,5.0,5.0
"A NEW LIFE FOR UNIQLO CLOTHING. “RE.UNIQLO” is a framework that helps maximize the utility of the clothing we make, contributing to a circular society. “REDUCE” used clothing disposal by extending the lifespan of each garment. “REUSE” clothing with new purposes. “RECYCLE” clothing into new products and materials. Clothing has the power to change the future. None of this can happen without your help. Please bring any UNIQLO items you no longer need to a RE.UNIQLO recycling box.","a new life for uniqlo clothing. “re.uniqlo” is a framework that helps maximize the utility of the clothing we make, contributing to a circular society. “reduce” used clothing disposal by extending the lifespan of each garment. “reuse” clothing with new purposes. “recycle” clothing into new products and materials. clothing has the power to change the future. none of this can happen without your help. please bring any uniqlo items you no longer need to a re.uniqlo recycling box.",not_greenwashing,"The claim describes Uniqlo's ""RE.UNIQLO"" framework, which focuses on reducing waste and promoting circularity through reducing, reusing, and recycling clothing. The provided context shows Uniqlo is taking concrete steps towards these goals, such as having RE.UNIQLO STUDIO booths in 35 stores (KPIObservation), increasing the use of recycled materials to 8.5% in 2023 (KPIObservation), and cumulatively collecting 54.63 million used clothing items (KPIObservation). These actions support the claim that Uniqlo is actively working to maximize the utility of its clothing and contribute to a circular society.",5.0,5.0,5.0,5.0,5.0,5.0
"“ 100% recycled bottle"" accompanied by an asterisk after the claim, leading to text in smaller print on the back of the bottle, specifying “This bottle is made from 100% recycled plastic, so the colour of the bottle may vary. Caps and label don’t yet contain recycled plastic. 100% recyclable. Please recycle.”","“ 100% recycled bottle"" accompanied by an asterisk after the claim, leading to text in smaller print on the back of the bottle, specifying “this bottle is made from 100% recycled plastic, so the colour of the bottle may vary. caps and label don’t yet contain recycled plastic. 100% recyclable. please recycle.”",greenwashing,"The claim states ""100% recycled bottle"" but the asterisk leads to a disclaimer stating ""Caps and label don’t yet contain recycled plastic."" This means only the bottle itself is made from 100% recycled plastic, while the entire package is not. Presenting the claim without fully disclosing this limitation is a case of partial truth presented as a whole.",3.0,4.0,4.0,4.0,5.0,4.0
"Made from 100% recycled PET bottles” accompanied by an asterisk after the claim, leading to “*does not refer to the label and cap”.","made from 100% recycled pet bottles” accompanied by an asterisk after the claim, leading to “*does not refer to the label and cap”.",greenwashing,"The claim states the bottles are ""Made from 100% recycled PET bottles” but immediately clarifies with an asterisk that this “*does not refer to the label and cap”. This means the bottles are not entirely made from recycled PET, only the bottle itself, presenting a partial truth as a whole.",5.0,5.0,5.0,5.0,5.0,5.0
"Carbon negative carpet tile changed everything for us. We now know it’s possible to store more carbon than we emit. We want to challenge ourselves and others to become carbon negative, enterprise wide, without offsets. This is an important step on our journey to reverse global warming.","carbon negative carpet tile changed everything for us. we now know it’s possible to store more carbon than we emit. we want to challenge ourselves and others to become carbon negative, enterprise wide, without offsets. this is an important step on our journey to reverse global warming.",not_greenwashing,"The claim states Interface is carbon negative and aims to be carbon negative enterprise-wide without offsets. The provided context demonstrates Interface has significantly reduced its carbon footprint over time (e.g., 96% reduction in carpet manufacturing emissions, reduction in GHG emissions per unit of carpet tile product) and has retired a substantial amount of emissions reduction credits. While the context doesn't explicitly state current carbon negativity *enterprise-wide*, it shows a clear and consistent effort towards substantial emissions reduction and carbon offsetting, supporting the claim that they are actively working towards and potentially achieving carbon negativity. The claim of wanting to challenge others to do the same is a statement of intent, not a verifiable claim.",5.0,5.0,5.0,5.0,5.0,5.0
"Buy less, demand more","buy less, demand more",not_greenwashing,"The claim ""Buy less, demand more"" aligns with Patagonia's documented initiatives and goals focused on minimizing supply chain impacts and promoting responsible consumption. The context shows Patagonia actively works to reduce its environmental footprint and supports fair labor practices, which supports the sentiment of the claim. While a marketing slogan, it is consistent with the company's demonstrated actions.",5.0,5.0,5.0,5.0,5.0,5.0
"The ad is designed to look like a two-page spread in a newspaper.  The left-hand side of the ad says ""We bought this two-page ad to tell you we've been including climate footprint numbers on our products so they can tell you their climate footprint numbers too."" The right-hand side of the ad says ""We're donating this page to the dairy industry so they can tell you their climate footprint numbers too."" There is a large Oatly logo in the bottom right corner of the ad.  Below the ad copy, there is a section that says ""Climate Footprint Oat Milk 0.62 kg CO₂e/kg.""","the ad is designed to look like a two-page spread in a newspaper.  the left-hand side of the ad says ""we bought this two-page ad to tell you we've been including climate footprint numbers on our products so they can tell you their climate footprint numbers too."" the right-hand side of the ad says ""we're donating this page to the dairy industry so they can tell you their climate footprint numbers too."" there is a large oatly logo in the bottom right corner of the ad.  below the ad copy, there is a section that says ""climate footprint oat milk 0.62 kg co₂e/kg.""",not_greenwashing,The claim accurately reflects Oatly's advertising strategy and reported climate footprint data. The provided context confirms Oatly publishes climate footprint numbers for its products (0.62 kg CO₂e/kg) and is actively encouraging other dairy companies to do the same. This is a verifiable fact based on the description of the ad and the stated climate footprint number.,5.0,5.0,5.0,5.0,5.0,5.0
We’re Made for More. More carbon reduction. More carbon storage. More innovative solutions. More impact.,we’re made for more. more carbon reduction. more carbon storage. more innovative solutions. more impact.,not_greenwashing,"The provided context demonstrates that Interface has consistently worked to reduce its carbon footprint and has set ambitious goals for further reduction, including becoming carbon negative by 2040. The company reports various KPIs related to GHG emissions reduction, carbon footprint of products, and cumulative emission reductions. These actions and reported data support the claim that Interface is actively pursuing more carbon reduction, storage, and innovative solutions, and having a positive impact.",5.0,5.0,5.0,5.0,5.0,5.0
"In 2020, 97% of our product packaging, by volume, was what we consider to be 'Zero Waste -reusable or recyclable.","in 2020, 97% of our product packaging, by volume, was what we consider to be 'zero waste -reusable or recyclable.",not_greenwashing,"The provided context indicates that in 2023, 99% of Seventh Generation's packaging was designed to be reusable or recyclable. While the claim states 97% in 2020, the context shows a higher percentage in a more recent year, supporting the general sentiment of the claim. Therefore, the claim is factually accurate based on the available information.",5.0,5.0,5.0,5.0,5.0,5.0
"We make dishwashing liquid and automatic dish detergents powered by renewable, plant-based ingredients that fight grease with ease and make dish time less of a chore.","we make dishwashing liquid and automatic dish detergents powered by renewable, plant-based ingredients that fight grease with ease and make dish time less of a chore.",not_greenwashing,"The claim states Seventh Generation's dishwashing products are ""powered by renewable, plant-based ingredients."" The provided context confirms Seventh Generation produces various dishwashing products (e.g., ""Foam Dishwashing Spray,"" ""Dishwasher Detergent"") and participates in initiatives promoting circularity and biobased feedstocks. While the context doesn't explicitly detail the *percentage* of plant-based ingredients, it supports the general claim that they utilize such ingredients. The claim of fighting grease ""with ease"" and making dish time less of a chore is marketing language and not a verifiable sustainability claim.",4.0,4.0,4.0,4.0,5.0,4.2
"Using the power of plant science, we create products that get the job done and are safer for your family. From renewable plant-based ingredients to more sustainable packaging, our products re-define what it means to clean with purpose.","using the power of plant science, we create products that get the job done and are safer for your family. from renewable plant-based ingredients to more sustainable packaging, our products re-define what it means to clean with purpose.",not_greenwashing,"The provided context demonstrates that Seventh Generation has numerous targets and achievements related to sustainable packaging, renewable materials, and waste reduction. Specifically, they report 99% of their packaging is designed to be reusable or recyclable (2023), 100% of eligible packaging material is reusable, recyclable, or biodegradable (2022), and are targeting 100% sustainable materials by 2030. The claim that they ""create products that get the job done and are safer for your family"" while focusing on plant-based ingredients and sustainable packaging aligns with these documented efforts and is therefore factually accurate.",5.0,5.0,5.0,5.0,5.0,5.0
"OUR SUSTAINABLY SOURCED INGREDIENTS In the southern region of France, we source our organically grown lavandin and thyme. Our sustainable sourcing program contributes to maintaining local biodiversity, expanding organic farming, and supporting local farmers.","our sustainably sourced ingredients in the southern region of france, we source our organically grown lavandin and thyme. our sustainable sourcing program contributes to maintaining local biodiversity, expanding organic farming, and supporting local farmers.",not_greenwashing,"The claim states that Garnier sources organically grown lavandin and thyme from Southern France, contributing to biodiversity, organic farming, and supporting local farmers. The provided context shows Garnier reports on several sustainability KPIs, including percentages of bio-based and sustainably sourced ingredients (e.g., 89% of biobased ingredients sustainably sourced in 2022). While the specific claim about lavandin and thyme isn't directly verified in the provided data, the overall data supports Garnier's commitment to sustainable sourcing and aligns with the claim's assertions.",5.0,5.0,5.0,5.0,5.0,5.0
A FUTURE-PROOF ALTERNATIVE THAT'S DISTINCT AND POWERFUL,a future-proof alternative that's distinct and powerful,abstain,"The claim ""A FUTURE-PROOF ALTERNATIVE THAT'S DISTINCT AND POWERFUL"" is vague and lacks specific, verifiable details. While the provided context demonstrates Fairphone makes various sustainability claims (longevity, ethical sourcing, reduced e-waste), it doesn't offer concrete evidence to support the broad assertion of being ""future-proof,"" ""distinct,"" or ""powerful."" These terms are subjective and require quantifiable data to assess their accuracy.",3.0,3.0,3.0,4.0,4.0,3.4
"The Fairphone 4’s body is machined from aluminum from ASI certified vendors. To top it off, we’ve designed it with a 100% recycled plastic back cover. Using fairer materials as much as possible.","the fairphone 4’s body is machined from aluminum from asi certified vendors. to top it off, we’ve designed it with a 100% recycled plastic back cover. using fairer materials as much as possible.",not_greenwashing,"The claim states that the Fairphone 4’s body is made from aluminum from ASI certified vendors and has a 100% recycled plastic back cover. The provided context confirms that Fairphone uses 100% recycled aluminum in some products (Fairbuds XL and Fairphone 5) and 100% post-consumer recycled plastics in some components (Fairphone 5 back cover). While the context doesn't *specifically* confirm the ASI certification for the aluminum in the Fairphone 4, it does demonstrate a strong commitment to using recycled materials, supporting the claim that they are using fairer materials.",5.0,5.0,5.0,5.0,5.0,5.0
"100% natural, reusable and biodegradable, the Cork Pot is a carbon-positive piece of packaging, removing over 33 times its weight in carbon dioxide for every single pot. Sourced from southern Portugal, they support re-wilding projects in the region as well as helping your shampoo bars stay dry and last longer. Whether you're heading out on an adventure, travelling to the gym, or just want to do your bit in the bathroom, do something (carbon) positive today and pop a Cork Pot into your basket!","100% natural, reusable and biodegradable, the cork pot is a carbon-positive piece of packaging, removing over 33 times its weight in carbon dioxide for every single pot. sourced from southern portugal, they support re-wilding projects in the region as well as helping your shampoo bars stay dry and last longer. whether you're heading out on an adventure, travelling to the gym, or just want to do your bit in the bathroom, do something (carbon) positive today and pop a cork pot into your basket!",not_greenwashing,"The claim states the Cork Pot is ""carbon-positive, removing over 33 times its weight in carbon dioxide."" While the provided context doesn't directly verify this specific claim about the Cork Pot, Lush demonstrates a strong commitment to sustainability through various KPIs, including reducing plastic waste, increasing recycled content in packaging, and reducing carbon emissions across their operations. This suggests a genuine effort towards environmental responsibility, making the claim plausible and not demonstrably false based on the available information.",5.0,5.0,5.0,5.0,5.0,5.0
worn wear program: One of the most responsible things we can do for the planet is to keep our gear going longer. That’s why we’re making it as easy as possible to repair your gear. ,worn wear program: one of the most responsible things we can do for the planet is to keep our gear going longer. that’s why we’re making it as easy as possible to repair your gear.,not_greenwashing,"The provided context demonstrates that Patagonia has stated goals and initiatives centered around product durability, repairability, and reducing environmental impact throughout the product lifecycle. The claim about the ""worn wear program"" and making repair easy aligns directly with Patagonia's stated goals of partnering with customers for product lifecycle responsibility and designing repairable products, as evidenced by multiple Goal and SustainabilityClaim nodes in the knowledge graph.",5.0,5.0,5.0,5.0,5.0,5.0
"From materials to transport, we’re working to reduce our carbon footprint to near zero. Holding ourselves accountable and striving for climate goals isn’t a 30-year goal—it’s now.","from materials to transport, we’re working to reduce our carbon footprint to near zero. holding ourselves accountable and striving for climate goals isn’t a 30-year goal—it’s now.",not_greenwashing,"The provided context demonstrates that allbirds is actively measuring and reporting on its carbon footprint, with both achieved reductions and future targets. Multiple KPIObservation entries show reductions in GHG emissions from various sources (responsible energy, regenerative agriculture, renewable materials) and targets for further reductions across Scope 1, 2, and 3 emissions, as well as product carbon footprint. This supports the claim that they are working to reduce their carbon footprint and are holding themselves accountable to climate goals.",5.0,5.0,5.0,5.0,5.0,5.0
"Where possible, we replace synthetic petroleum-based materials with natural alternatives. Such as wool, tree fibers and sugar cane. They're soft, breathable and better for the planet - win, win, win.","where possible, we replace synthetic petroleum-based materials with natural alternatives. such as wool, tree fibers and sugar cane. they're soft, breathable and better for the planet - win, win, win.",not_greenwashing,"The claim states that Allbirds replaces petroleum-based materials with natural alternatives like wool, tree fibers, and sugarcane, highlighting their environmental benefits. The provided context confirms Allbirds is actively working towards increasing sustainably sourced materials, with a target of 75% by 2025 (KPIObservation nodes 269668bb1e12b56c and 30d582634447d0c5). The company also has policies to address material environmental issues (SustainabilityClaim nodes 8f1c6b45a7b94ef3 and c8677f8d07cb9601). While the claim doesn't specify a percentage, the context supports the general direction of replacing synthetic materials with natural ones.",5.0,5.0,5.0,5.0,5.0,5.0
Loop And Swoop: Our laces are made from 100% post-consumer recycled polyester. One old plastic bottle becomes one pair of shoelaces.,loop and swoop: our laces are made from 100% post-consumer recycled polyester. one old plastic bottle becomes one pair of shoelaces.,not_greenwashing,"The claim states that one plastic bottle is recycled into a pair of shoelaces. While the provided context doesn't directly verify this specific 1:1 ratio, it does confirm that Allbirds uses 100% post-consumer recycled polyester for its laces. This indicates a legitimate effort to utilize recycled materials, and the claim doesn't appear to be factually false based on the available information.",5.0,5.0,5.0,5.0,5.0,5.0
