claim,claim_norm,label,justification,Informativeness,Logicality,Objectivity,Readability,Accuracy,OverallScore
"Kering proudly claims to be a leader in sustainability by participating in the Clean by Design program, which is just a mandatory industry initiative.","kering proudly claims to be a leader in sustainability by participating in the clean by design program, which is just a mandatory industry initiative.",greenwashing,"The claim states Kering is a ""leader in sustainability by participating in the Clean by Design program."" However, the provided context does not indicate whether the Clean by Design program is voluntary or mandatory. Based on external knowledge, the Clean by Design program is a mandatory initiative for apparel and footwear manufacturers in New York State. Therefore, Kering's participation is not a voluntary act of sustainability leadership, but rather a legal requirement, making the claim misleading.",5.0,5.0,5.0,5.0,5.0,5.0
"Kering has actively engaged in the Clean by Design program, demonstrating a commitment to reducing energy and water use in textile mills, which is a voluntary and collaborative effort beyond legal requirements.","kering has actively engaged in the clean by design program, demonstrating a commitment to reducing energy and water use in textile mills, which is a voluntary and collaborative effort beyond legal requirements.",not_greenwashing,"The claim states Kering actively engages in the Clean by Design program, a voluntary effort to reduce energy and water use in textile mills. The provided context demonstrates Kering's commitment to sustainability through numerous KPIs related to environmental impact reduction, responsible sourcing of materials (organic cotton, recycled fibers, etc.), and renewable energy usage. These achievements support the claim that Kering is proactively involved in sustainability initiatives beyond legal requirements, aligning with the principles of the Clean by Design program.",5.0,5.0,5.0,5.0,5.0,5.0
Kering boasts about achieving 19% energy savings on average per site through the Clean by Design program without providing detailed data or third-party verification.,kering boasts about achieving 19% energy savings on average per site through the clean by design program without providing detailed data or third-party verification.,greenwashing,"The claim states Kering achieves 19% energy savings per site through the Clean by Design program. However, the provided knowledge graph shows Kering reports 19% energy savings in 2021 (source: kering_2020_2023.pdf_21_1), and a separate report shows 52% GHG Emissions Intensity Reduction in 2022 (source: kering_2020_2023.pdf_7_3). The claim lacks specificity (average across all sites, over what timeframe?) and is not supported by consistent, verifiable data. The lack of detailed data and third-party verification, as noted in the claim itself, further suggests the reported savings may be overstated or selectively presented.",3.0,4.0,4.0,4.0,5.0,4.0
"Kering leads the Fashion Pact, an alliance that aims to tackle climate, ocean, and biodiversity issues, showcasing the company's commitment to sustainability.","kering leads the fashion pact, an alliance that aims to tackle climate, ocean, and biodiversity issues, showcasing the company's commitment to sustainability.",not_greenwashing,"The claim states that Kering ""leads the Fashion Pact,"" an alliance focused on sustainability issues. While the provided context doesn't directly confirm Kering *leads* the pact, it does demonstrate Kering's commitment to various sustainability initiatives through reported KPIs (reduction in environmental impacts, increased use of sustainable materials, improved gender equality metrics, etc.). This supports the idea that Kering is actively involved in and promoting sustainability, aligning with the spirit of leading such an alliance.",5.0,5.0,5.0,5.0,5.0,5.0
"Kering spearheaded the Fashion Pact, an initiative that includes over 250 brands, but fails to mention that the coalition's success depends on voluntary commitments that may not be enforceable.","kering spearheaded the fashion pact, an initiative that includes over 250 brands, but fails to mention that the coalition's success depends on voluntary commitments that may not be enforceable.",not_greenwashing,"The claim accurately points out that the Fashion Pact relies on voluntary commitments. While the context provided focuses on Kering's internal ESG performance (gender equality, material sourcing, etc.), it doesn't contradict the statement about the Fashion Pact's enforcement mechanism. The lack of enforceable commitments is a valid observation about the initiative, and acknowledging this doesn't make the claim false or misleading.",5.0,5.0,5.0,5.0,5.0,5.0
"Kering initiated the Watch & Jewellery Initiative 2030, a coalition focused on climate resilience, resource conservation, and inclusion, demonstrating a proactive approach to sustainability.","kering initiated the watch & jewellery initiative 2030, a coalition focused on climate resilience, resource conservation, and inclusion, demonstrating a proactive approach to sustainability.",not_greenwashing,"The provided context demonstrates Kering actively reports and achieves reductions in various environmental and social KPIs, including greenhouse gas emissions, renewable energy sourcing, and responsible material sourcing. The claim that Kering initiated the Watch & Jewellery Initiative 2030, focused on sustainability, aligns with this demonstrated commitment to proactive sustainability efforts. While the context doesn't *specifically* detail the initiative, it provides ample evidence of Kering's broader sustainability focus, making the claim plausible and not demonstrably false.",5.0,5.0,5.0,5.0,5.0,5.0
Kering's Qeelin has pledged to improve the panda's natural habitat and promote sustainable consumption through a charity necklace collaboration with WWF.,kering's qeelin has pledged to improve the panda's natural habitat and promote sustainable consumption through a charity necklace collaboration with wwf.,not_greenwashing,"The claim states that Kering's Qeelin is pledging to improve the panda's natural habitat and promote sustainable consumption through a charity necklace collaboration with WWF. This is a verifiable claim about a charitable partnership and does not contradict any information in the provided context. While the context focuses on Kering's broader sustainability metrics (emissions reduction, recycled materials, etc.), it doesn't negate the possibility of specific initiatives like this collaboration.",5.0,5.0,5.0,5.0,5.0,5.0
"Kering's Qeelin has pledged to improve the panda's natural habitat and promote sustainable consumption through a charity necklace collaboration with WWF, with a donation of RMB888 from each necklace sold to support WWF's annual initiatives.","kering's qeelin has pledged to improve the panda's natural habitat and promote sustainable consumption through a charity necklace collaboration with wwf, with a donation of rmb888 from each necklace sold to support wwf's annual initiatives.",not_greenwashing,"The claim states that Qeelin (owned by Kering) pledges to support WWF through a donation from each necklace sold. This is a standard philanthropic activity and does not contain any demonstrably false or misleading information. While the provided context focuses on Kering's broader sustainability KPIs (reducing environmental impact, increasing recycled material usage, etc.), it does not contradict the claim about the charity collaboration and donation. Therefore, there is no evidence of greenwashing.",5.0,5.0,5.0,5.0,5.0,5.0
Kering's Qeelin has donated RMB888 from the proceeds of each Silver Bo Bo Charity necklace sold to support WWF's annual initiatives.,kering's qeelin has donated rmb888 from the proceeds of each silver bo bo charity necklace sold to support wwf's annual initiatives.,not_greenwashing,"The provided context details Kering's philanthropic activities, specifically a donation to WWF linked to sales of a specific product (Silver Bo Bo Charity necklace). This is a verifiable claim of a charitable contribution and does not appear to be misleading. The context does not contain any information to suggest this claim is false or inaccurate.",5.0,5.0,5.0,5.0,5.0,5.0
"Kering's Qeelin has donated RMB888 from the proceeds of each Silver Bo Bo Charity necklace sold to support WWF's annual initiatives, which include various panda conservation projects.","kering's qeelin has donated rmb888 from the proceeds of each silver bo bo charity necklace sold to support wwf's annual initiatives, which include various panda conservation projects.",not_greenwashing,"The claim states that Qeelin donates a portion of proceeds from a specific necklace to WWF for panda conservation. This is a verifiable charitable contribution, and the provided context, while not directly mentioning this specific donation, demonstrates Kering's (Qeelin's parent company) commitment to reporting and achieving various ESG KPIs. There is no evidence to suggest this claim is false or misleading.",5.0,5.0,5.0,5.0,5.0,5.0
Kering's Qeelin markets the Silver Bo Bo Charity necklace as a sustainable product due to the donation to WWF.,kering's qeelin markets the silver bo bo charity necklace as a sustainable product due to the donation to wwf.,greenwashing,"The claim states the Qeelin necklace is ""sustainable due to the donation to WWF."" While donations to WWF are positive, they do not inherently make the *product* sustainable. The context provided focuses on Kering's broader sustainability efforts (reducing environmental impacts, increasing recycled material usage, etc.), but provides no information about the specific materials, production processes, or supply chain of the Silver Bo Bo Charity necklace itself. Framing the sustainability of the product solely on a donation is a partial truth presented as a whole, as it ignores the potential environmental impacts of the necklace's creation and lifecycle.",3.0,4.0,4.0,4.0,5.0,4.0
"usbank's strong culture of risk management includes policies that ensure the company avoids activities that could harm the environment, thereby supporting sustainability.","usbank's strong culture of risk management includes policies that ensure the company avoids activities that could harm the environment, thereby supporting sustainability.",abstain,"The provided context details various ESG-related KPIs achieved by U.S. Bank in 2022, such as investments in minority-owned businesses, employee volunteering, and sustainable finance initiatives. However, it does not provide any information to verify or refute the claim that U.S. Bank's risk management policies specifically avoid activities that could harm the environment to support sustainability. The context demonstrates positive ESG actions, but doesn't directly link them to the company's risk management framework in a way that confirms the claim.",3.0,2.0,3.0,4.0,2.0,2.8
U.S. Bancorp's Environmental and Social Risk Policy ensures that all clients are eco-friendly and sustainable.,u.s. bancorp's environmental and social risk policy ensures that all clients are eco-friendly and sustainable.,greenwashing,"The claim states that U.S. Bancorp's Environmental and Social Risk Policy ensures *all* clients are eco-friendly and sustainable. The provided context details numerous ESG-related KPIs and initiatives undertaken by U.S. Bancorp (e.g., carbon emission reductions, renewable energy investments, grants). However, it does *not* provide any evidence that the bank's policy guarantees all clients meet eco-friendly and sustainability standards. In fact, as a bank, U.S. Bancorp likely has clients across a wide spectrum of industries, many of which may not be inherently sustainable. The claim is therefore a contradiction of what is realistically achievable and verifiable given the nature of the banking business.",1.0,1.0,1.0,1.0,5.0,1.8
"U.S. Bancorp's Environmental and Social Risk Policy includes a detailed framework for identifying and managing risks associated with clients' environmental and social impacts, ensuring compliance with all applicable laws and regulations.","u.s. bancorp's environmental and social risk policy includes a detailed framework for identifying and managing risks associated with clients' environmental and social impacts, ensuring compliance with all applicable laws and regulations.",not_greenwashing,"The provided context demonstrates that U.S. Bancorp actively reports on and manages environmental and social risks, as well as achieving various ESG-related KPIs (e.g., carbon emission reductions, renewable energy investments, community reinvestment). While the claim is broad, the available evidence supports the assertion that U.S. Bancorp has a framework for identifying and managing these risks and complying with regulations.",5.0,5.0,5.0,5.0,5.0,5.0
"** US Bank claims that its monitoring and destruction of records is a comprehensive sustainability effort, while ignoring the significant environmental impact of data storage and destruction processes.","** us bank claims that its monitoring and destruction of records is a comprehensive sustainability effort, while ignoring the significant environmental impact of data storage and destruction processes.",greenwashing,"The provided context highlights several sustainability-related KPIs reported by U.S. Bank, such as carbon emission reductions, renewable energy investments, and charitable contributions. However, the claim specifically points to the monitoring and destruction of records as a ""comprehensive sustainability effort."" While responsible data management is important, framing it as a primary sustainability initiative while overlooking the significant environmental impact of data storage and destruction (energy consumption of servers, e-waste from destroyed devices, etc.) presents a partial truth as a whole. The company emphasizes positive actions while downplaying a potentially significant negative impact related to the same business operations.",3.0,4.0,4.0,4.0,5.0,4.0
ArabBank believes that financial services can help tackle climate change and create a better world for future generations by financing projects that have a positive impact on the environment.,arabbank believes that financial services can help tackle climate change and create a better world for future generations by financing projects that have a positive impact on the environment.,not_greenwashing,"The provided context demonstrates that ArabBank is actively investing in community projects and reporting on various ESG KPIs, including financial support for libraries, donations, community investment spending, and reduction of GHG emissions. These actions support the claim that the bank believes financial services can help tackle climate change and create a better world. While the claim is broad, the supporting evidence indicates genuine efforts in this direction.",5.0,5.0,5.0,5.0,5.0,5.0
"ArabBank has financed projects that have led to the avoidance of approximately 1,271,000 tons of CO2e GHG emissions since 2012.","arabbank has financed projects that have led to the avoidance of approximately 1,271,000 tons of co2e ghg emissions since 2012.",not_greenwashing,"The provided context includes a KPIObservation (node key a9a4baa05db1fd4a) stating that ""Arab Bank"" has financed projects leading to the avoidance of approximately 1,271,000 tons of CO2e GHG emissions since 2012. This directly supports the claim.",5.0,5.0,5.0,5.0,5.0,5.0
ArabBank's green infrastructure finance activities represent a major growth opportunity for the business and clients.,arabbank's green infrastructure finance activities represent a major growth opportunity for the business and clients.,abstain,"The provided context details various ESG-related KPIs reported by Arab Bank in 2022, including community investment, nationalization rates, and renewable energy usage. However, it does not contain any information specifically about ""green infrastructure finance activities"" or whether these represent a major growth opportunity. Therefore, I cannot verify the claim's factual accuracy.",1.0,1.0,1.0,1.0,1.0,1.0
"Arab Bank claims to contribute positively through Environmental Finance solutions, but does not provide specific metrics or definitions for these solutions.","arab bank claims to contribute positively through environmental finance solutions, but does not provide specific metrics or definitions for these solutions.",greenwashing,"The claim states Arab Bank ""contributes positively through Environmental Finance solutions,"" but provides no specific metrics or definitions for these solutions. While the provided context shows Arab Bank reports on various ESG KPIs (GHG emissions, renewable energy usage, community investment, etc.), it doesn't demonstrate that the ""Environmental Finance solutions"" are meaningfully contributing to positive environmental outcomes. The lack of transparency and quantifiable data suggests the claim is a partial truth presented as a whole – they *report* on some environmental factors, but haven't demonstrated a positive contribution through specific ""solutions.",3.0,4.0,4.0,4.0,5.0,4.0
"Arab Bank claims to contribute positively through Environmental Finance solutions, such as providing detailed metrics on the amount of funds allocated to renewable energy projects.","arab bank claims to contribute positively through environmental finance solutions, such as providing detailed metrics on the amount of funds allocated to renewable energy projects.",not_greenwashing,"The provided context shows that Arab Bank reports metrics on funds allocated to renewable energy projects (specifically, $303 million in 2012 - KPIObservation key 7d6c0cb41bf0a0f9). The claim that they ""contribute positively through Environmental Finance solutions, such as providing detailed metrics"" is therefore factually accurate based on the available evidence.",5.0,5.0,5.0,5.0,5.0,5.0
Arab Bank states that it is committed to reducing the environmental impact of its operations without providing specific actions or progress reports.,arab bank states that it is committed to reducing the environmental impact of its operations without providing specific actions or progress reports.,greenwashing,"The claim states Arab Bank is ""committed to reducing the environmental impact of its operations"" but provides no specific actions or progress reports. While the provided context shows Arab Bank *reports* on several environmental KPIs (GHG emissions, waste generation, energy consumption, etc.), simply reporting data doesn't equate to demonstrable reduction or commitment. The lack of concrete actions or measurable progress suggests the ""commitment"" is a vague statement without substance, presenting a partial truth as a whole.",3.0,4.0,4.0,4.0,5.0,4.0
Arab Bank states that it is committed to reducing the environmental impact of its operations and provides specific actions such as reducing energy consumption by 20% within the next five years.,arab bank states that it is committed to reducing the environmental impact of its operations and provides specific actions such as reducing energy consumption by 20% within the next five years.,not_greenwashing,"The provided context demonstrates that Arab Bank reports on various environmental KPIs, including GHG emissions reduction and renewable energy consumption (90.9% in 2022). While the claim about reducing energy consumption by 20% within five years isn't directly verifiable within this data (it only shows current levels), the existing data supports a commitment to environmental impact reduction. Therefore, the claim is not demonstrably false based on the provided information.",5.0,5.0,5.0,5.0,5.0,5.0
"Arab Bank claims that the adoption of digital financial services significantly reduces paper usage and energy consumption, but does not provide specific metrics or evidence to support these claims.","arab bank claims that the adoption of digital financial services significantly reduces paper usage and energy consumption, but does not provide specific metrics or evidence to support these claims.",greenwashing,"The claim states that adopting digital financial services ""significantly reduces paper usage and energy consumption,"" but the provided context does not contain any specific metrics or evidence to support this claim. While the context *does* contain numerous KPIs related to energy consumption, community investment, and other ESG factors, none of them directly link the adoption of digital services to a reduction in paper or energy use. The lack of supporting data suggests the claim is presenting a partial truth (the potential for reduction) as a whole (significant reduction already achieved).",3.0,3.0,4.0,4.0,2.0,3.2
"Arab Bank reports a 30% reduction in paper usage and a 15% decrease in energy consumption due to the adoption of digital financial services, supported by internal audits and third-party verification.","arab bank reports a 30% reduction in paper usage and a 15% decrease in energy consumption due to the adoption of digital financial services, supported by internal audits and third-party verification.",not_greenwashing,"The claim states a 30% reduction in paper usage and a 15% decrease in energy consumption due to digital financial services, supported by audits and verification. While the provided context doesn't directly confirm these specific percentages, it *does* contain numerous KPIObservations related to energy consumption, GHG emissions, and waste reduction (e.g., KPIObservation nodes with titles like ""Share of total energy consumed that originates from renewable energy sources"", ""Reduction of GHG emissions"", ""Total waste generated during the reporting period""). The existence of these reported KPIs, and the fact that they are audited and verified, lends credibility to the claim that Arab Bank is actively tracking and reducing its environmental impact through digital transformation. Therefore, the claim is likely factually accurate based on the available evidence.",5.0,5.0,5.0,5.0,5.0,5.0
Arab Bank claims that the Easy Payment Plan (EPP) helps customers adopt sustainable practices without specifying how the plan contributes to sustainability or providing evidence of its environmental impact.,arab bank claims that the easy payment plan (epp) helps customers adopt sustainable practices without specifying how the plan contributes to sustainability or providing evidence of its environmental impact.,greenwashing,"The claim states that the Easy Payment Plan (EPP) ""helps customers adopt sustainable practices"" without providing any evidence of *how* it does so. The provided context details numerous ESG-related KPIs for Arab Bank, including community investment, donations, and reduction of GHG emissions, but none of these relate to the EPP. The lack of connection between the EPP and any verifiable sustainable outcome suggests the claim is misleading. It implies a sustainability benefit without demonstrating one.",3.0,4.0,4.0,4.0,5.0,4.0
"arabbank claims to be taking a significant step towards sustainability by measuring scope 3 GHG emissions, but this is actually a legal obligation under new regulations.","arabbank claims to be taking a significant step towards sustainability by measuring scope 3 ghg emissions, but this is actually a legal obligation under new regulations.",greenwashing,"The claim states that measuring scope 3 GHG emissions is a ""significant step towards sustainability,"" but the context implies this is not a voluntary action. The provided knowledge graph does not explicitly state the new regulations, but the phrasing strongly suggests that measuring scope 3 emissions is now a legal obligation, not a voluntary sustainability initiative. Therefore, presenting it as a significant step towards sustainability is misleading.",4.0,4.0,4.0,4.0,5.0,4.2
"arabbank has committed to measuring scope 3 GHG emissions as a proactive step towards setting future sustainability targets, demonstrating a commitment beyond legal requirements.","arabbank has committed to measuring scope 3 ghg emissions as a proactive step towards setting future sustainability targets, demonstrating a commitment beyond legal requirements.",not_greenwashing,"The provided context shows that Arab Bank reports on various GHG emissions metrics (Scope 1, 2, and 3) and related KPIs (GRI-305-1, GRI-305-2, GRI-305-3, GRI-305-4, GRI-305-5, ESG 2-1, ESG 2-2). The claim that they are ""measuring scope 3 GHG emissions"" is supported by the presence of data reported for ""Other indirect (Scope 3) GHG emissions"" (KPIObservation key: 948c6b9d458c00a8). The statement about demonstrating a commitment beyond legal requirements is not directly verifiable with the provided data, but the act of measuring Scope 3 emissions is a proactive step towards sustainability, and is not a legal requirement for most banks.",5.0,5.0,5.0,5.0,5.0,5.0
Arab Bank claims to reduce energy consumption without specifying any measurable goals or timelines.,arab bank claims to reduce energy consumption without specifying any measurable goals or timelines.,greenwashing,"The claim states Arab Bank ""claims to reduce energy consumption"" but does not specify any measurable goals or timelines. While the provided context shows Arab Bank *reports* on various energy-related KPIs (total energy consumed, renewable energy share, GHG emissions, etc.), simply reporting data does not equate to a demonstrated reduction in energy consumption. The lack of concrete targets or progress towards reduction makes the claim misleading.",4.0,4.0,4.0,5.0,5.0,4.4
Arab Bank aims to reduce energy consumption and is currently in the process of setting specific targets and metrics for improvement.,arab bank aims to reduce energy consumption and is currently in the process of setting specific targets and metrics for improvement.,abstain,"The claim states that Arab Bank ""aims to reduce energy consumption and is currently in the process of setting specific targets and metrics for improvement."" The provided context details various energy-related KPIs reported by Arab Bank in 2022 (e.g., energy consumption, GHG emissions, renewable energy share). However, it does not confirm whether the bank is *currently* setting new targets and metrics, only that they reported on existing ones. Therefore, I cannot verify the claim's factual accuracy.",3.0,4.0,4.0,4.0,4.0,3.8
"Arab Bank claims to measure the environmental impact of its operations comprehensively, including all sources of GHG emissions, but only reports on business travel and not on employees' commute.","arab bank claims to measure the environmental impact of its operations comprehensively, including all sources of ghg emissions, but only reports on business travel and not on employees' commute.",greenwashing,"The claim states Arab Bank ""comprehensively"" measures its environmental impact, including all GHG emissions sources. However, the provided context shows the bank *only* reports on business travel emissions and *not* employee commutes. This indicates a partial reporting of GHG emissions presented as comprehensive, which is misleading.",3.0,4.0,4.0,4.0,5.0,4.0
"Arab Bank reports on business travel GHG emissions and acknowledges that employees' commute is also a source of emissions, though it is not currently included in the report.","arab bank reports on business travel ghg emissions and acknowledges that employees' commute is also a source of emissions, though it is not currently included in the report.",not_greenwashing,"The provided context confirms that Arab Bank reports on its business travel GHG emissions and acknowledges that employee commutes are also a source of emissions, but currently not included in their report. This is a transparent admission of a gap in their reporting, not a misleading claim. The bank is not claiming to measure or offset commute emissions, simply stating they are not currently included.",5.0,5.0,5.0,5.0,5.0,5.0
"Greenergy is committed to achieving net zero by 2050 and carbon neutral operations by 2035, showcasing the company's dedication to sustainability.","greenergy is committed to achieving net zero by 2050 and carbon neutral operations by 2035, showcasing the company's dedication to sustainability.",not_greenwashing,"The provided context demonstrates Greenergy has established targets and achieved reductions in greenhouse gas emissions (Scope 1 & 2). Specifically, they have a target to reduce emissions by 50% by 2030 (from a 2020 baseline) and are actively working towards this goal, with documented reductions already achieved. While the claim encompasses a longer timeframe (2050), the documented progress towards the 2035 and 2030 targets supports the overall commitment to sustainability.",5.0,5.0,5.0,5.0,5.0,5.0
"Greenergy aims to achieve net zero by 2050 and carbon neutral operations by 2035, highlighting the company's green initiatives.","greenergy aims to achieve net zero by 2050 and carbon neutral operations by 2035, highlighting the company's green initiatives.",not_greenwashing,"The provided context demonstrates that Greenergy has established targets and achieved reductions in greenhouse gas emissions (Scope 1 & 2). Specifically, they have a target to reduce emissions by 50% by 2030 (from a 2020 baseline) and are actively working towards this goal, with reported reductions in 2022. While the claim doesn't provide specifics, the company's documented efforts support the general statement about aiming for net zero by 2050 and carbon neutral operations by 2035.",5.0,5.0,5.0,5.0,5.0,5.0
"Greenergy's products are designed to avoid 12mt CO2e by 2035, demonstrating a concrete commitment to reducing emissions.","greenergy's products are designed to avoid 12mt co2e by 2035, demonstrating a concrete commitment to reducing emissions.",not_greenwashing,"The provided context demonstrates that Greenergy has set a target to avoid 12mt CO2e by 2035 (KPIObservation with _node_key ""494a61146e7c40dd""). This is a concrete, quantifiable target reported by the company, supported by other reported KPIs related to greenhouse gas emission reductions. While the claim doesn't detail *how* they will achieve this, the existence of the target itself is verifiable and doesn't appear to be misleading.",5.0,5.0,5.0,5.0,5.0,5.0
Greenergy's products are eco-friendly and will help avoid significant CO2 emissions.,greenergy's products are eco-friendly and will help avoid significant co2 emissions.,not_greenwashing,"The provided context demonstrates that Greenergy reports significant reductions in greenhouse gas emissions and has set targets for further reductions. Specifically, they report carbon savings from biofuels (79.8% in 2022), reductions in total Scope 1 + Scope 2 emissions (13.7% reduction from a 2020 baseline), and CO2e savings from renewable energy transition (11,900 tonnes in 2022). These reported figures and targets support the claim that Greenergy's products are eco-friendly and help avoid significant CO2 emissions.",5.0,5.0,5.0,5.0,5.0,5.0
"Greenergy is committed to reducing carbon emissions by 50% by 2030, showing a strong commitment to environmental sustainability.","greenergy is committed to reducing carbon emissions by 50% by 2030, showing a strong commitment to environmental sustainability.",not_greenwashing,"The provided context includes a KPIObservation with a target to reduce carbon emissions by 50% by 2030 (node key: 105492d14b3ae3df). This demonstrates a concrete, stated commitment to reducing carbon emissions, supporting the claim. Additionally, multiple other KPIObservation nodes show achieved reductions in greenhouse gas emissions, further validating their commitment to environmental sustainability.",5.0,5.0,5.0,5.0,5.0,5.0
